ContractNumber,ContractType,GroupNumber,EffectiveDate,ExpirationDate,RenewalDate,PolicyID,CustomerSSN
CNT-CDP-6266-128,Family,GRP-976160,4/8/2020,4/8/2021,2/21/2022,CDP-RCA-783875,528-47-4959
CNT-CDP-8553-322,Family,GRP-954077,2/16/2020,2/15/2021,12/20/2021,CDP-BJHP-038233,836-04-2999
CNT-CDP-6674-730,Individual,GRP-761106,3/26/2020,3/26/2021,11/6/2021,CDP-CCC-228385,858-63-2762
CNT-CDP-6171-071,Individual,GRP-602308,1/13/2020,1/12/2021,,CDP-CDCP-171336,681-30-3780
CNT-CDP-2512-198,Group,GRP-032503,4/22/2020,4/22/2021,,CDP-CHS-501036,602-23-5126
CNT-CDP-7422-970,Group,GRP-580843,9/26/2020,9/26/2021,2/17/2022,CDP-RWP-867534,176-91-5939
CNT-CDP-2242-539,Family,GRP-305381,2/22/2020,2/21/2021,4/13/2021,CDP-NC-355709,110-86-9732
CNT-CDP-5503-541,Group,GRP-231422,9/14/2020,9/14/2021,12/17/2021,CDP-ADS-864979,842-33-0692
CNT-CDP-1388-251,Group,GRP-025853,11/24/2020,11/24/2021,,CDP-RCA-783875,518-58-6058
CNT-CDP-1688-834,Family,GRP-789731,10/23/2020,10/23/2021,,CDP-BJHP-038233,423-96-6886
CNT-CDP-6784-030,Individual,GRP-570289,10/4/2020,10/4/2021,6/11/2022,CDP-CCC-228385,505-12-3386
CNT-CDP-1336-550,Individual,GRP-036021,10/28/2020,10/28/2021,11/21/2021,CDP-CDCP-171336,261-37-4176
CNT-CDP-5550-244,Individual,GRP-923622,4/4/2020,4/4/2021,,CDP-CHS-501036,730-09-8648
CNT-CDP-2494-890,Family,GRP-241131,3/9/2020,3/9/2021,,CDP-RWP-867534,623-10-8429
CNT-CDP-0616-505,Group,GRP-493012,10/22/2020,10/22/2021,9/14/2022,CDP-NC-355709,863-28-4647
CNT-CDP-8578-432,Individual,GRP-795472,11/3/2020,11/3/2021,10/27/2022,CDP-ADS-864979,313-95-3567
CNT-CDP-4901-899,Family,GRP-554516,9/13/2020,9/13/2021,8/31/2022,CDP-RCA-783875,875-28-7154
CNT-CDP-9700-206,Group,GRP-208539,7/12/2020,7/12/2021,1/4/2022,CDP-BJHP-038233,760-55-5800
CNT-CDP-7858-277,Family,GRP-191770,4/26/2020,4/26/2021,12/30/2021,CDP-CCC-228385,600-97-2729
CNT-CDP-4118-325,Individual,GRP-093432,1/14/2020,1/13/2021,12/17/2021,CDP-CDCP-171336,726-71-9373
CNT-CDP-6834-795,Family,GRP-099457,5/6/2020,5/6/2021,8/28/2021,CDP-CHS-501036,160-40-0524
CNT-CDP-9868-292,Family,GRP-449485,6/18/2020,6/18/2021,4/1/2022,CDP-RWP-867534,338-59-2665
CNT-CDP-6141-785,Group,GRP-391396,6/22/2020,6/22/2021,3/18/2022,CDP-NC-355709,469-65-9333
CNT-CDP-9475-768,Group,GRP-707855,4/25/2020,4/25/2021,4/9/2022,CDP-ADS-864979,660-89-2485
CNT-CDP-2907-573,Individual,GRP-989182,9/7/2020,9/7/2021,,CDP-RCA-783875,430-57-8881
CNT-CDP-4832-606,Individual,GRP-478462,6/13/2020,6/13/2021,1/5/2022,CDP-BJHP-038233,160-36-8380
CNT-CDP-8555-060,Family,GRP-772165,4/20/2020,4/20/2021,1/14/2022,CDP-CCC-228385,118-89-3671
CNT-CDP-9492-940,Family,GRP-064340,8/9/2020,8/9/2021,,CDP-CDCP-171336,266-25-7957
CNT-CDP-2265-515,Family,GRP-603590,12/17/2020,12/17/2021,10/10/2022,CDP-CHS-501036,879-28-4768
CNT-CDP-4653-779,Group,GRP-728452,6/10/2020,6/10/2021,,CDP-RWP-867534,585-54-3079
CNT-CDP-7027-736,Group,GRP-376988,6/19/2020,6/19/2021,,CDP-NC-355709,603-46-2641
CNT-CDP-0045-043,Family,GRP-055521,10/22/2020,10/22/2021,8/20/2022,CDP-ADS-864979,358-44-0561
CNT-CDP-5160-561,Individual,GRP-667624,6/11/2020,6/11/2021,,CDP-RCA-783875,803-89-9048
CNT-CDP-3402-858,Group,GRP-399133,7/6/2020,7/6/2021,9/27/2021,CDP-BJHP-038233,343-73-0877
CNT-CDP-0196-684,Family,GRP-806808,12/23/2020,12/23/2021,,CDP-CCC-228385,565-68-9682
CNT-CDP-8620-279,Group,GRP-576022,5/1/2020,5/1/2021,12/9/2021,CDP-CDCP-171336,350-82-8206
CNT-CDP-8556-256,Group,GRP-457351,7/15/2020,7/15/2021,12/18/2021,CDP-CHS-501036,165-41-9536
CNT-CDP-5859-546,Individual,GRP-594710,7/7/2020,7/7/2021,4/28/2022,CDP-RWP-867534,531-95-5982
CNT-CDP-7006-280,Individual,GRP-359728,4/5/2020,4/5/2021,10/14/2021,CDP-NC-355709,793-39-8139
CNT-CDP-6859-791,Individual,GRP-578778,6/13/2020,6/13/2021,,CDP-ADS-864979,235-15-1117
CNT-CDP-8393-974,Family,GRP-174537,11/26/2020,11/26/2021,12/12/2021,CDP-RCA-783875,170-13-4425
CNT-CDP-6055-372,Group,GRP-569319,2/13/2020,2/12/2021,8/4/2021,CDP-BJHP-038233,423-64-3992
CNT-CDP-9670-435,Family,GRP-857391,8/20/2020,8/20/2021,10/18/2021,CDP-CCC-228385,369-81-1487
CNT-CDP-6055-378,Group,GRP-960668,4/21/2020,4/21/2021,,CDP-CDCP-171336,384-12-1031
CNT-CDP-9687-844,Individual,GRP-482182,11/2/2020,11/2/2021,1/15/2022,CDP-CHS-501036,755-42-1537
CNT-CDP-7461-885,Group,GRP-895668,8/18/2020,8/18/2021,,CDP-RWP-867534,330-89-0336
CNT-CDP-8383-950,Group,GRP-284909,1/1/2020,12/31/2020,2/4/2021,CDP-NC-355709,749-97-9210
CNT-CDP-1302-592,Group,GRP-297091,8/20/2020,8/20/2021,5/25/2022,CDP-ADS-864979,780-52-0025
CNT-CDP-9768-397,Individual,GRP-761336,5/25/2020,5/25/2021,6/26/2021,CDP-RCA-783875,205-47-8030
CNT-CDP-4219-166,Individual,GRP-551698,11/29/2020,11/29/2021,3/10/2022,CDP-BJHP-038233,440-33-5693
CNT-CDP-3385-096,Group,GRP-170981,5/8/2020,5/8/2021,8/10/2021,CDP-CCC-228385,411-70-3989
CNT-CDP-3936-853,Family,GRP-335244,8/11/2020,8/11/2021,,CDP-CDCP-171336,177-43-9176
CNT-CDP-5037-837,Group,GRP-922126,4/21/2020,4/21/2021,11/10/2021,CDP-CHS-501036,305-32-7126
CNT-CDP-0138-654,Group,GRP-313610,5/17/2020,5/17/2021,8/11/2021,CDP-RWP-867534,572-52-6215
CNT-CDP-6722-563,Group,GRP-517192,12/5/2020,12/5/2021,,CDP-NC-355709,144-57-2660
CNT-CDP-6342-332,Group,GRP-892557,9/7/2020,9/7/2021,5/14/2022,CDP-ADS-864979,578-71-8021
CNT-CDP-2683-741,Group,GRP-469515,8/3/2020,8/3/2021,6/11/2022,CDP-RCA-783875,306-27-1825
CNT-CDP-0489-321,Family,GRP-447818,3/9/2020,3/9/2021,,CDP-BJHP-038233,423-50-6409
CNT-CDP-6784-383,Group,GRP-195213,8/18/2020,8/18/2021,9/22/2021,CDP-CCC-228385,617-38-0166
CNT-CDP-6911-649,Individual,GRP-215936,5/27/2020,5/27/2021,,CDP-CDCP-171336,206-82-9014
CNT-CDP-9142-487,Family,GRP-064333,2/13/2020,2/12/2021,7/1/2021,CDP-CHS-501036,503-37-0019
CNT-CDP-9783-931,Individual,GRP-285364,2/2/2020,2/1/2021,,CDP-RWP-867534,101-47-5339
CNT-CDP-7206-838,Group,GRP-469208,7/11/2020,7/11/2021,,CDP-NC-355709,485-17-0690
CNT-CDP-1691-964,Individual,GRP-630786,4/17/2020,4/17/2021,,CDP-ADS-864979,381-63-5242
CNT-CDP-6491-686,Family,GRP-906157,7/14/2020,7/14/2021,,CDP-RCA-783875,508-77-1702
CNT-CDP-4981-274,Individual,GRP-609537,5/1/2020,5/1/2021,9/27/2021,CDP-BJHP-038233,832-63-4875
CNT-CDP-7386-126,Group,GRP-301334,2/19/2020,2/18/2021,8/25/2021,CDP-CCC-228385,204-89-0224
CNT-CDP-8309-891,Family,GRP-389742,8/13/2020,8/13/2021,12/7/2021,CDP-CDCP-171336,521-61-8005
CNT-CDP-1299-479,Individual,GRP-992572,12/9/2020,12/9/2021,,CDP-CHS-501036,576-22-8234
CNT-CDP-0745-264,Family,GRP-136682,5/19/2020,5/19/2021,11/7/2021,CDP-RWP-867534,823-30-1230
CNT-CDP-5910-468,Individual,GRP-487827,9/9/2020,9/9/2021,9/11/2021,CDP-NC-355709,313-95-3567
CNT-CDP-3182-970,Family,GRP-664031,1/18/2020,1/17/2021,7/22/2021,CDP-ADS-864979,281-62-2599
CNT-CDP-4580-978,Family,GRP-418734,10/22/2020,10/22/2021,8/29/2022,CDP-RCA-783875,479-25-3635
CNT-CDP-5608-302,Individual,GRP-751077,1/23/2020,1/22/2021,11/23/2021,CDP-BJHP-038233,453-66-2725
CNT-CDP-8194-783,Family,GRP-148782,6/30/2020,6/30/2021,12/23/2021,CDP-CCC-228385,268-43-0664
CNT-CDP-6217-509,Family,GRP-937832,6/2/2020,6/2/2021,,CDP-CDCP-171336,565-68-9682
CNT-CDP-4228-131,Individual,GRP-047457,8/6/2020,8/6/2021,6/28/2022,CDP-CHS-501036,108-98-3421
CNT-CDP-8370-550,Individual,GRP-651303,1/25/2020,1/24/2021,7/8/2021,CDP-RWP-867534,879-95-0564
CNT-CDP-7873-565,Individual,GRP-569144,3/20/2020,3/20/2021,5/17/2021,CDP-NC-355709,823-65-3803
CNT-CDP-6366-750,Group,GRP-409998,9/28/2020,9/28/2021,2/27/2022,CDP-ADS-864979,626-05-4417
CNT-CDP-1241-826,Group,GRP-485110,1/29/2020,1/28/2021,,CDP-RCA-783875,371-43-5754
CNT-CDP-4542-423,Family,GRP-407216,2/22/2020,2/21/2021,5/12/2021,CDP-BJHP-038233,696-66-8047
CNT-CDP-8865-006,Individual,GRP-565939,11/19/2020,11/19/2021,6/20/2022,CDP-CCC-228385,709-74-7875
CNT-CDP-1908-264,Group,GRP-089345,10/27/2020,10/27/2021,9/22/2022,CDP-CDCP-171336,111-33-2433
CNT-CDP-0466-712,Group,GRP-917558,7/3/2020,7/3/2021,8/4/2021,CDP-CHS-501036,692-55-4716
CNT-CDP-4921-307,Individual,GRP-220503,11/21/2020,11/21/2021,10/3/2022,CDP-RWP-867534,454-50-7352
CNT-CDP-0534-467,Individual,GRP-589493,4/19/2020,4/19/2021,,CDP-NC-355709,107-22-6715
CNT-CDP-3473-243,Family,GRP-351410,1/25/2020,1/24/2021,9/13/2021,CDP-ADS-864979,879-99-8554
CNT-CDP-0658-463,Group,GRP-325726,11/15/2020,11/15/2021,,CDP-RCA-783875,144-57-2660
CNT-CDP-0936-342,Group,GRP-939658,6/23/2020,6/23/2021,,CDP-BJHP-038233,469-47-1784
CNT-CDP-4659-484,Family,GRP-349079,9/27/2020,9/27/2021,,CDP-CCC-228385,708-83-3620
CNT-CDP-0683-875,Group,GRP-905746,1/10/2020,1/9/2021,,CDP-CDCP-171336,394-39-8605
CNT-CDP-8640-183,Family,GRP-822687,3/18/2020,3/18/2021,2/16/2022,CDP-CHS-501036,475-34-2789
CNT-CDP-6391-152,Family,GRP-324990,2/16/2020,2/15/2021,,CDP-RWP-867534,472-83-8236
CNT-CDP-1744-820,Group,GRP-351121,12/18/2020,12/18/2021,10/27/2022,CDP-NC-355709,232-36-4675
CNT-CDP-4421-061,Group,GRP-530883,11/15/2020,11/15/2021,3/8/2022,CDP-ADS-864979,335-04-6424
CNT-CDP-8758-934,Group,GRP-703501,9/25/2020,9/25/2021,12/12/2021,CDP-RCA-783875,302-41-8386
CNT-CDP-0320-788,Individual,GRP-525098,10/11/2020,10/11/2021,10/3/2022,CDP-BJHP-038233,691-17-3387
CNT-CDP-7756-274,Group,GRP-616921,6/27/2020,6/27/2021,7/6/2021,CDP-CCC-228385,742-02-5983
CNT-CDP-7401-540,Individual,GRP-034410,2/7/2020,2/6/2021,12/9/2021,CDP-CDCP-171336,545-54-0867
CNT-CDP-3251-625,Group,GRP-909821,6/11/2020,6/11/2021,8/23/2021,CDP-CHS-501036,413-10-2162
CNT-CDP-4833-012,Individual,GRP-410019,7/13/2020,7/13/2021,11/16/2021,CDP-RWP-867534,532-85-3774
CNT-CDP-6515-388,Group,GRP-550365,11/27/2020,11/27/2021,,CDP-NC-355709,492-69-2793
CNT-CDP-0764-907,Family,GRP-971443,10/8/2020,10/8/2021,9/4/2022,CDP-ADS-864979,168-94-1362
CNT-CDP-4691-864,Family,GRP-404832,8/10/2020,8/10/2021,7/9/2022,CDP-RCA-783875,577-44-6995
CNT-CDP-7269-106,Individual,GRP-068812,11/20/2020,11/20/2021,6/27/2022,CDP-BJHP-038233,234-75-7522
CNT-CDP-5184-234,Group,GRP-560114,2/20/2020,2/19/2021,,CDP-CCC-228385,564-07-3591
CNT-CDP-2089-762,Group,GRP-430096,5/13/2020,5/13/2021,7/12/2021,CDP-CDCP-171336,438-12-4628
CNT-CDP-5436-308,Individual,GRP-586611,10/27/2020,10/27/2021,11/1/2021,CDP-CHS-501036,419-12-1209
CNT-CDP-0212-945,Family,GRP-067814,3/8/2020,3/8/2021,12/18/2021,CDP-RWP-867534,410-01-6579
CNT-CDP-3707-775,Family,GRP-804746,6/1/2020,6/1/2021,11/30/2021,CDP-NC-355709,586-70-4628
CNT-CDP-5973-320,Group,GRP-420992,5/29/2020,5/29/2021,2/22/2022,CDP-ADS-864979,705-11-2944
CNT-CDP-8843-234,Family,GRP-219745,11/2/2020,11/2/2021,1/1/2022,CDP-RCA-783875,618-40-5613
CNT-CDP-6174-353,Individual,GRP-611464,12/26/2020,12/26/2021,6/24/2022,CDP-BJHP-038233,196-54-1574
CNT-CDP-0227-977,Individual,GRP-699352,10/27/2020,10/27/2021,,CDP-CCC-228385,309-64-6753
CNT-CDP-6916-808,Group,GRP-591810,8/16/2020,8/16/2021,10/14/2021,CDP-CDCP-171336,117-05-3734
CNT-CDP-9470-533,Group,GRP-803171,1/31/2020,1/30/2021,10/4/2021,CDP-CHS-501036,331-86-5929
CNT-CDP-5884-498,Individual,GRP-650296,4/13/2020,4/13/2021,8/31/2021,CDP-RWP-867534,814-90-5059
CNT-CDP-6944-916,Individual,GRP-227859,1/7/2020,1/6/2021,,CDP-NC-355709,371-43-5754
CNT-CDP-0958-779,Family,GRP-898425,9/12/2020,9/12/2021,2/15/2022,CDP-ADS-864979,335-22-1485
CNT-CDP-0939-082,Group,GRP-007307,6/25/2020,6/25/2021,10/7/2021,CDP-RCA-783875,863-73-9525
CNT-CDP-0364-861,Individual,GRP-486696,2/12/2020,2/11/2021,3/27/2021,CDP-BJHP-038233,745-84-4576
CNT-CDP-2255-039,Family,GRP-893079,5/11/2020,5/11/2021,6/1/2021,CDP-CCC-228385,204-89-0224
CNT-CDP-4472-033,Group,GRP-821748,11/7/2020,11/7/2021,9/15/2022,CDP-CDCP-171336,498-96-5310
CNT-CDP-1132-893,Group,GRP-190624,7/26/2020,7/26/2021,8/31/2021,CDP-CHS-501036,339-05-1707
CNT-CDP-4908-047,Family,GRP-001636,2/26/2020,2/25/2021,6/30/2021,CDP-RWP-867534,400-21-1001
CNT-CDP-8562-124,Individual,GRP-771031,2/1/2020,1/31/2021,5/20/2021,CDP-NC-355709,683-18-9050
CNT-CDP-1023-535,Group,GRP-663250,8/9/2020,8/9/2021,1/12/2022,CDP-ADS-864979,405-23-1770
CNT-CDP-7589-366,Family,GRP-998828,12/25/2020,12/25/2021,11/19/2022,CDP-RCA-783875,538-34-5682
CNT-CDP-7641-256,Group,GRP-990456,4/3/2020,4/3/2021,,CDP-BJHP-038233,611-81-3453
CNT-CDP-5327-190,Family,GRP-171297,5/28/2020,5/28/2021,,CDP-CCC-228385,842-64-0009
CNT-CDP-1547-355,Individual,GRP-949705,1/11/2020,1/10/2021,7/3/2021,CDP-CDCP-171336,145-72-3021
CNT-CDP-7174-379,Individual,GRP-469169,2/27/2020,2/26/2021,5/4/2021,CDP-CHS-501036,142-96-7706
CNT-CDP-8690-290,Individual,GRP-596901,9/8/2020,9/8/2021,2/16/2022,CDP-RWP-867534,158-68-4850
CNT-CDP-7343-257,Group,GRP-326984,3/1/2020,3/1/2021,8/9/2021,CDP-NC-355709,578-71-8021
CNT-CDP-9732-097,Individual,GRP-404841,2/29/2020,2/28/2021,,CDP-ADS-864979,235-15-1117
CNT-CDP-8267-434,Family,GRP-669344,9/26/2020,9/26/2021,3/31/2022,CDP-RCA-783875,859-16-4730
CNT-CDP-5210-397,Individual,GRP-592310,5/17/2020,5/17/2021,11/6/2021,CDP-BJHP-038233,290-21-1802
CNT-CDP-7404-978,Group,GRP-837407,4/13/2020,4/13/2021,9/16/2021,CDP-CCC-228385,641-01-2782
CNT-CDP-7212-177,Family,GRP-092726,2/17/2020,2/16/2021,10/6/2021,CDP-CDCP-171336,348-43-7882
CNT-CDP-5220-589,Group,GRP-960801,7/6/2020,7/6/2021,2/11/2022,CDP-CHS-501036,678-02-9516
CNT-CDP-2832-547,Group,GRP-637055,11/2/2020,11/2/2021,,CDP-RWP-867534,295-50-6362
CNT-CDP-3407-678,Family,GRP-498520,8/2/2020,8/2/2021,,CDP-NC-355709,366-67-0216
CNT-CDP-7928-952,Group,GRP-015197,2/28/2020,2/27/2021,10/14/2021,CDP-ADS-864979,444-86-0266
CNT-CDP-6475-694,Family,GRP-314374,8/13/2020,8/13/2021,,CDP-RCA-783875,107-22-6715
CNT-CDP-6240-985,Family,GRP-933797,1/29/2020,1/28/2021,12/16/2021,CDP-BJHP-038233,705-52-1530
CNT-CDP-6752-094,Family,GRP-032628,9/16/2020,9/16/2021,,CDP-CCC-228385,508-50-1790
CNT-CDP-3502-551,Family,GRP-800515,8/9/2020,8/9/2021,,CDP-CDCP-171336,788-15-9864
CNT-CDP-1564-232,Group,GRP-086154,8/30/2020,8/30/2021,9/27/2021,CDP-CHS-501036,891-27-9474
CNT-CDP-4967-777,Family,GRP-410456,5/1/2020,5/1/2021,,CDP-RWP-867534,417-81-9390
CNT-CDP-1652-944,Group,GRP-258650,9/15/2020,9/15/2021,10/26/2021,CDP-NC-355709,364-56-0809
CNT-CDP-4392-631,Family,GRP-500193,1/29/2020,1/28/2021,6/18/2021,CDP-ADS-864979,457-48-0419
CNT-CDP-3475-220,Group,GRP-051816,2/6/2020,2/5/2021,2/1/2022,CDP-RCA-783875,568-17-3551
CNT-CDP-0903-673,Family,GRP-640701,3/3/2020,3/3/2021,,CDP-BJHP-038233,252-84-5848
CNT-CDP-5075-745,Individual,GRP-572424,7/31/2020,7/31/2021,10/14/2021,CDP-CCC-228385,671-48-6104
CNT-CDP-2560-510,Individual,GRP-819956,12/3/2020,12/3/2021,4/22/2022,CDP-CDCP-171336,891-39-7247
CNT-CDP-0098-302,Family,GRP-833555,7/24/2020,7/24/2021,,CDP-CHS-501036,622-30-1101
CNT-CDP-3494-580,Group,GRP-062597,9/26/2020,9/26/2021,3/20/2022,CDP-RWP-867534,694-45-4388
CNT-CDP-1120-060,Individual,GRP-539931,8/2/2020,8/2/2021,,CDP-NC-355709,108-98-3421
CNT-CDP-2292-369,Individual,GRP-377578,7/20/2020,7/20/2021,9/15/2021,CDP-ADS-864979,822-34-8592
CNT-CDP-1598-945,Family,GRP-923672,3/10/2020,3/10/2021,10/2/2021,CDP-RCA-783875,194-03-6170
CNT-CDP-7717-377,Individual,GRP-413438,7/2/2020,7/2/2021,8/5/2021,CDP-BJHP-038233,772-58-7916
CNT-CDP-6256-322,Individual,GRP-219047,7/26/2020,7/26/2021,8/19/2021,CDP-CCC-228385,531-54-0436
CNT-CDP-6703-939,Individual,GRP-617410,5/16/2020,5/16/2021,,CDP-CDCP-171336,622-11-1615
CNT-CDP-2250-134,Individual,GRP-986656,11/29/2020,11/29/2021,4/9/2022,CDP-CHS-501036,446-41-6870
CNT-CDP-8449-566,Family,GRP-247124,1/10/2020,1/9/2021,5/29/2021,CDP-RWP-867534,148-52-8456
CNT-CDP-7307-339,Family,GRP-613451,8/30/2020,8/30/2021,12/10/2021,CDP-NC-355709,489-98-8589
CNT-CDP-2461-700,Group,GRP-323545,2/5/2020,2/4/2021,7/17/2021,CDP-ADS-864979,126-86-4015
CNT-CDP-3570-555,Family,GRP-769377,12/17/2020,12/17/2021,8/8/2022,CDP-RCA-783875,302-41-8386
CNT-CDP-8459-406,Family,GRP-499168,4/19/2020,4/19/2021,12/10/2021,CDP-BJHP-038233,143-46-2783
CNT-CDP-6654-149,Individual,GRP-424042,1/20/2020,1/19/2021,9/14/2021,CDP-CCC-228385,708-53-8002
CNT-CDP-8201-958,Group,GRP-416880,1/10/2020,1/9/2021,2/1/2021,CDP-CDCP-171336,177-43-9176
CNT-CDP-7444-147,Group,GRP-809876,4/8/2020,4/8/2021,,CDP-CHS-501036,623-10-8429
CNT-CDP-7379-495,Group,GRP-967361,5/2/2020,5/2/2021,,CDP-RWP-867534,683-23-9060
CNT-CDP-9677-708,Family,GRP-997085,10/30/2020,10/30/2021,,CDP-NC-355709,550-28-8283
CNT-CDP-4859-484,Family,GRP-494813,11/20/2020,11/20/2021,5/13/2022,CDP-ADS-864979,435-10-4849
CNT-CDP-6244-491,Individual,GRP-559658,3/12/2020,3/12/2021,,CDP-RCA-783875,544-08-8528
CNT-CDP-5803-851,Group,GRP-910611,7/3/2020,7/3/2021,8/8/2021,CDP-BJHP-038233,622-30-1101
CNT-CDP-2639-503,Group,GRP-726089,1/3/2020,1/2/2021,3/19/2021,CDP-CCC-228385,598-76-7465
CNT-CDP-2345-204,Family,GRP-904687,10/13/2020,10/13/2021,5/6/2022,CDP-CDCP-171336,775-99-5015
CNT-CDP-6371-507,Group,GRP-058628,10/13/2020,10/13/2021,9/17/2022,CDP-CHS-501036,379-37-7126
CNT-CDP-6612-374,Family,GRP-001867,5/14/2020,5/14/2021,9/28/2021,CDP-RWP-867534,469-65-9333
CNT-CDP-5039-924,Individual,GRP-215854,1/26/2020,1/25/2021,4/25/2021,CDP-NC-355709,107-22-6715
CNT-CDP-0165-816,Individual,GRP-308287,1/26/2020,1/25/2021,2/2/2021,CDP-ADS-864979,159-80-8720
CNT-CDP-7299-158,Family,GRP-299532,12/28/2020,12/28/2021,,CDP-RCA-783875,281-62-2599
CNT-CDP-5138-432,Individual,GRP-982099,11/14/2020,11/14/2021,10/2/2022,CDP-BJHP-038233,485-17-0690
CNT-CDP-8023-432,Individual,GRP-208128,11/9/2020,11/9/2021,11/28/2021,CDP-CCC-228385,749-97-9210
CNT-CDP-7570-004,Family,GRP-436434,3/31/2020,3/31/2021,5/9/2021,CDP-CDCP-171336,333-94-4387
CNT-CDP-3470-453,Group,GRP-641545,9/9/2020,9/9/2021,,CDP-CHS-501036,640-73-8121
CNT-CDP-3210-969,Individual,GRP-176997,12/5/2020,12/5/2021,,CDP-RWP-867534,611-49-6271
CNT-CDP-2460-019,Individual,GRP-095919,2/19/2020,2/18/2021,9/29/2021,CDP-NC-355709,397-69-2805
CNT-CDP-5379-381,Family,GRP-552043,3/21/2020,3/21/2021,2/9/2022,CDP-ADS-864979,339-05-1707
CNT-CDP-9562-404,Group,GRP-506865,2/18/2020,2/17/2021,,CDP-RCA-783875,309-18-0710
CNT-CDP-0012-149,Individual,GRP-876927,10/15/2020,10/15/2021,11/4/2021,CDP-BJHP-038233,157-96-5213
CNT-CDP-2950-681,Group,GRP-130624,11/10/2020,11/10/2021,6/19/2022,CDP-CCC-228385,335-04-6424
CNT-CDP-5622-270,Group,GRP-758545,8/8/2020,8/8/2021,8/31/2021,CDP-CDCP-171336,793-39-8139
CNT-CDP-5277-908,Group,GRP-614374,6/21/2020,6/21/2021,2/23/2022,CDP-CHS-501036,571-01-2642
CNT-CDP-0583-756,Group,GRP-177487,2/27/2020,2/26/2021,8/16/2021,CDP-RWP-867534,598-47-0008
CNT-CDP-9208-549,Family,GRP-306387,10/1/2020,10/1/2021,6/25/2022,CDP-NC-355709,309-54-2863
CNT-CDP-1384-365,Individual,GRP-906355,2/3/2020,2/2/2021,2/26/2021,CDP-ADS-864979,341-22-7806
CNT-CDP-7520-153,Individual,GRP-540600,3/25/2020,3/25/2021,,CDP-RCA-783875,130-35-0848
CNT-CDP-2664-430,Individual,GRP-121353,6/28/2020,6/28/2021,,CDP-BJHP-038233,505-40-2843
CNT-CDP-7969-902,Family,GRP-856653,8/1/2020,8/1/2021,,CDP-CCC-228385,589-94-4692
CNT-CDP-4716-686,Group,GRP-476151,1/5/2020,1/4/2021,8/10/2021,CDP-CDCP-171336,350-82-8206
CNT-CDP-9251-365,Group,GRP-235191,12/7/2020,12/7/2021,1/30/2022,CDP-CHS-501036,576-22-8234
CNT-CDP-0735-160,Group,GRP-129788,7/3/2020,7/3/2021,11/16/2021,CDP-RWP-867534,247-30-6618
CNT-CDP-9193-513,Individual,GRP-687447,11/16/2020,11/16/2021,4/30/2022,CDP-NC-355709,291-23-3142
CNT-CDP-9548-714,Group,GRP-288836,7/17/2020,7/17/2021,3/21/2022,CDP-ADS-864979,855-49-6195
CNT-CDP-4355-213,Family,GRP-367251,1/5/2020,1/4/2021,1/4/2022,CDP-RCA-783875,472-69-9538
CNT-CDP-5883-370,Individual,GRP-802822,10/24/2020,10/24/2021,,CDP-BJHP-038233,459-31-0706
CNT-CDP-7633-031,Group,GRP-989255,9/24/2020,9/24/2021,,CDP-CCC-228385,879-95-0564
CNT-CDP-4298-194,Family,GRP-469258,3/22/2020,3/22/2021,6/18/2021,CDP-CDCP-171336,653-48-2778
CNT-CDP-8860-145,Family,GRP-321137,5/29/2020,5/29/2021,9/23/2021,CDP-CHS-501036,142-83-9613
CNT-CDP-6359-891,Family,GRP-718090,12/5/2020,12/5/2021,12/27/2021,CDP-RWP-867534,268-99-3106
CNT-CDP-5491-579,Individual,GRP-308720,7/23/2020,7/23/2021,4/11/2022,CDP-NC-355709,729-52-4503
CNT-CDP-7846-837,Group,GRP-115415,6/4/2020,6/4/2021,1/17/2022,CDP-ADS-864979,779-38-6747
CNT-CDP-0043-128,Family,GRP-066939,4/25/2020,4/25/2021,6/1/2021,CDP-RCA-783875,369-81-1487
CNT-CDP-1752-610,Group,GRP-101538,11/3/2020,11/3/2021,,CDP-BJHP-038233,205-22-8990
CNT-CDP-4838-473,Individual,GRP-512742,1/21/2020,1/20/2021,7/27/2021,CDP-CCC-228385,268-49-2117
CNT-CDP-6362-620,Group,GRP-271483,1/8/2020,1/7/2021,,CDP-CDCP-171336,572-26-6323
CNT-CDP-6472-018,Group,GRP-289281,10/2/2020,10/2/2021,11/3/2021,CDP-CHS-501036,454-59-9255
CNT-CDP-3649-607,Individual,GRP-245587,8/3/2020,8/3/2021,9/16/2021,CDP-RWP-867534,276-40-7872
CNT-CDP-8741-560,Group,GRP-374279,10/24/2020,10/24/2021,12/5/2021,CDP-NC-355709,811-79-7478
CNT-CDP-8452-467,Family,GRP-499054,10/25/2020,10/25/2021,12/20/2021,CDP-ADS-864979,572-54-4752
CNT-CDP-4814-607,Individual,GRP-382183,3/25/2020,3/25/2021,4/13/2021,CDP-RCA-783875,197-07-9496
CNT-CDP-0530-984,Family,GRP-046257,3/25/2020,3/25/2021,,CDP-BJHP-038233,762-49-1943
CNT-CDP-7016-102,Individual,GRP-389332,3/29/2020,3/29/2021,11/23/2021,CDP-CCC-228385,425-88-7594
CNT-CDP-6403-634,Individual,GRP-908984,4/3/2020,4/3/2021,3/14/2022,CDP-CDCP-171336,584-74-5070
CNT-CDP-8550-485,Individual,GRP-647105,10/10/2020,10/10/2021,2/8/2022,CDP-CHS-501036,774-26-8823
