ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-0461-746259,11/3/2017,8/2/2023,1/11/2022,Gout uric acid level monitoring,8957889.95,Pending Additional Information,518-68-6558,CNT-CDP-1305-765
CLM-2128-265799,6/14/2014,3/25/2021,10/16/2014,Cystic fibrosis respiratory therapy,31625921.68,Reopened,442-35-1405,CNT-CDP-4523-793
CLM-1416-149959,7/31/2012,10/22/2015,7/24/2020,IBS symptom management consultation,77480986.41,Approved,651-45-8516,CNT-CDP-1201-052
CLM-2146-575077,3/29/2012,1/12/2017,1/15/2020,Celiac disease nutritional consultation,50890986.0,Reopened,231-47-5765,CNT-CDP-1231-632
CLM-6644-317709,11/7/2019,4/9/2022,9/26/2021,Diabetic retinopathy eye exam,82097191.16,Denied,534-59-3685,CNT-CDP-1601-529
CLM-3859-477934,1/30/2012,11/15/2019,2/28/2019,Hypertension medication adjustment,46332679.26,Reopened,793-45-8080,CNT-CDP-4692-704
CLM-4801-871518,8/12/2020,7/27/2024,9/4/2020,Chronic depression therapy session,63134486.32,Reopened,385-26-5865,CNT-CDP-4000-078
CLM-7941-071190,12/9/2020,11/5/2023,6/14/2021,Chronic fatigue syndrome assessment,92579058.76,Paid,535-59-1747,CNT-CDP-4388-561
CLM-8987-156668,3/22/2014,11/24/2019,12/6/2018,Celiac disease nutritional consultation,73568300.07,Reopened,293-53-0322,CNT-CDP-8617-798
CLM-7427-898890,3/10/2021,4/11/2021,3/23/2022,Peripheral artery disease circulation check,76630348.14,Reopened,860-34-6786,CNT-CDP-4443-151
CLM-4737-034203,2/28/2017,11/17/2023,9/14/2017,Hepatitis C antiviral therapy follow-up,98538322.87,Denied,835-77-2494,CNT-CDP-3737-853
CLM-6983-515565,9/4/2016,9/30/2017,6/9/2019,Thyroid hormone level check for hypothyroidism,82582841.72,In Appeal,503-64-6573,CNT-CDP-5422-451
CLM-2701-006731,12/8/2016,11/11/2019,5/10/2019,Sleep apnea CPAP adjustment,33915305.63,Pending Additional Information,358-11-2334,CNT-CDP-3895-588
CLM-8852-294672,12/17/2016,12/10/2018,4/30/2019,Polycystic kidney disease ultrasound,64466799.51,Approved,354-83-9201,CNT-CDP-3314-074
CLM-5055-041560,4/20/2014,10/4/2019,7/25/2017,Rheumatoid arthritis joint assessment,28652746.49,In Review,498-45-1196,CNT-CDP-7938-639
CLM-5258-344363,8/12/2019,8/21/2021,4/9/2021,Addison's disease hormone replacement,7967524.29,Closed,255-49-7726,CNT-CDP-4429-498
CLM-8312-266514,11/7/2010,4/25/2022,1/8/2014,Chronic migraine Botox treatment,97299803.49,Paid,509-50-3836,CNT-CDP-9110-684
CLM-3133-355080,10/9/2021,12/10/2023,11/30/2023,Glaucoma intraocular pressure check,47358318.86,Partially Approved,618-95-8756,CNT-CDP-1347-834
CLM-8857-517005,4/18/2019,2/5/2024,10/7/2020,Alzheimer's disease cognitive assessment,85364800.06,Pending Additional Information,466-75-1491,CNT-CDP-0545-748
CLM-8787-572176,12/13/2021,4/4/2023,4/9/2022,COPD exacerbation treatment,48847347.17,Submitted,480-08-1662,CNT-CDP-4631-613
CLM-0848-724853,6/22/2021,8/6/2024,12/23/2022,Ulcerative colitis colonoscopy,89793898.44,Paid,285-15-0932,CNT-CDP-7487-651
CLM-9409-026094,3/8/2012,3/20/2017,12/13/2023,Cirrhosis liver function tests,59280945.03,Approved,141-31-2586,CNT-CDP-9812-999
CLM-6080-553395,10/19/2016,3/31/2017,6/8/2019,Sjogren's syndrome dry eye treatment,37956497.1,Approved,873-87-1654,CNT-CDP-7619-646
CLM-8410-108877,10/1/2010,5/20/2020,2/5/2020,Hemophilia factor replacement therapy,68572770.5,Pending Additional Information,155-78-1348,CNT-CDP-5599-542
CLM-0884-016344,3/9/2019,1/29/2023,3/21/2023,Multiple sclerosis neurological exam,32140733.83,Approved,397-70-7613,CNT-CDP-4874-154
CLM-8235-929401,8/20/2010,7/23/2016,11/12/2018,Hepatitis C antiviral therapy follow-up,39579110.56,Submitted,645-16-6379,CNT-CDP-9508-453
CLM-4329-077049,7/9/2010,2/18/2021,9/20/2014,Chronic kidney disease dialysis session,7829260.69,In Appeal,120-97-8038,CNT-CDP-1323-668
CLM-1583-894776,3/23/2018,12/18/2019,5/21/2021,Bipolar disorder medication adjustment,16614065.41,In Review,376-93-8302,CNT-CDP-9194-620
CLM-3545-105573,7/24/2019,4/24/2022,11/10/2019,Chronic kidney disease dialysis session,42804552.51,Submitted,458-57-3411,CNT-CDP-1358-438
CLM-2136-842718,7/15/2012,4/11/2024,5/12/2015,Fibromyalgia pain management session,34209957.01,Reopened,769-38-0919,CNT-CDP-9035-645
CLM-9456-572457,5/1/2013,11/14/2019,8/9/2024,Graves' disease thyroid function test,59609277.79,Denied,798-41-7566,CNT-CDP-3408-470
CLM-5302-914420,10/10/2012,9/20/2016,7/30/2022,Chronic fatigue syndrome assessment,71972624.93,Pending Additional Information,742-39-7135,CNT-CDP-1087-196
CLM-3544-241489,12/21/2017,6/27/2021,10/31/2022,Cirrhosis liver function tests,16382067.16,Partially Approved,796-16-6826,CNT-CDP-1533-827
CLM-6903-677968,4/19/2018,10/19/2019,2/7/2019,Crohn's disease nutritional counseling,38741729.38,Submitted,759-04-1628,CNT-CDP-3633-103
CLM-0075-327909,4/8/2021,4/1/2023,9/22/2022,Hemophilia factor replacement therapy,46497056.16,Partially Approved,366-08-5482,CNT-CDP-6380-002
CLM-7407-043471,4/23/2021,10/26/2023,6/19/2021,Epilepsy medication level monitoring,57409853.7,Approved,473-26-1676,CNT-CDP-7568-735
CLM-9214-413837,7/26/2016,11/15/2018,10/9/2020,Ulcerative colitis colonoscopy,72699486.38,Pending Additional Information,782-93-9475,CNT-CDP-9959-328
CLM-4355-460446,5/1/2017,7/10/2023,1/1/2019,Osteoarthritis joint injection,72269205.79,In Appeal,606-29-3448,CNT-CDP-3925-618
CLM-8825-678678,5/10/2021,11/24/2021,12/12/2023,Chronic migraine Botox treatment,15511722.3,Approved,248-30-6439,CNT-CDP-1451-468
CLM-7787-752227,6/10/2019,2/10/2024,2/1/2021,Alzheimer's disease cognitive assessment,20978247.36,Pending Additional Information,746-68-0537,CNT-CDP-5492-471
CLM-4785-575679,11/15/2020,4/23/2023,2/22/2021,Diabetic retinopathy eye exam,17530420.24,Paid,407-12-4027,CNT-CDP-6274-187
CLM-3612-422996,3/10/2017,5/29/2021,1/26/2021,Obesity management and counseling,59870674.23,Closed,255-69-6684,CNT-CDP-8572-047
CLM-4756-574014,3/26/2018,11/19/2021,3/15/2024,COPD exacerbation treatment,44220351.63,In Review,728-53-8085,CNT-CDP-2082-812
CLM-5911-304527,2/2/2019,10/28/2019,4/27/2021,Alzheimer's disease cognitive assessment,36137534.47,Approved,590-50-6264,CNT-CDP-5301-473
CLM-1393-522502,8/6/2010,1/3/2015,2/9/2024,Chronic depression therapy session,8490347.12,Submitted,175-73-4090,CNT-CDP-7486-471
CLM-2590-346007,3/15/2017,9/23/2022,5/1/2020,Osteoporosis bone density scan,86618874.77,Denied,139-44-3836,CNT-CDP-4697-553
CLM-7070-814179,10/24/2016,5/18/2017,6/22/2021,IBS symptom management consultation,65914942.93,Closed,820-15-1447,CNT-CDP-1024-207
CLM-0432-047648,9/25/2021,6/16/2022,5/3/2022,Graves' disease thyroid function test,569407.4,In Appeal,216-78-6463,CNT-CDP-4596-518
CLM-9411-553818,10/12/2021,3/25/2022,10/3/2022,Osteoarthritis joint injection,60174464.66,Submitted,561-50-3924,CNT-CDP-6266-128
CLM-2655-845497,6/20/2016,5/17/2024,8/18/2019,Schizophrenia antipsychotic injection,39129049.76,Pending Additional Information,433-08-1085,CNT-CDP-8553-322
CLM-1463-605284,3/25/2018,12/5/2021,5/26/2022,Psoriasis phototherapy session,82985781.11,Partially Approved,503-59-9309,CNT-CDP-6674-730
CLM-9997-693514,7/8/2018,11/21/2018,3/15/2024,Hypertension medication adjustment,2574121.14,Pending Additional Information,558-96-4784,CNT-CDP-6171-071
CLM-8802-192532,3/3/2018,4/18/2020,4/17/2024,Atrial fibrillation anticoagulation check,28240154.54,In Review,712-31-8032,CNT-CDP-2512-198
CLM-6700-907394,2/10/2020,11/30/2022,5/16/2020,Crohn's disease nutritional counseling,17000599.83,Denied,494-22-2167,CNT-CDP-7422-970
CLM-4617-003537,2/7/2016,7/3/2020,1/11/2021,COPD exacerbation treatment,93327102.17,Paid,610-93-9785,CNT-CDP-2242-539
CLM-3250-150762,12/4/2017,9/18/2022,4/28/2018,Osteoarthritis joint injection,79877937.17,Reopened,772-95-5525,CNT-CDP-5503-541
CLM-7760-756335,2/15/2015,12/15/2017,8/5/2024,Prostate cancer PSA level check,419183.42,Reopened,345-80-3431,CNT-CDP-1388-251
CLM-8243-974062,4/24/2014,3/14/2024,11/7/2023,Atrial fibrillation anticoagulation check,84869865.86,Submitted,798-69-7020,CNT-CDP-1688-834
CLM-4592-569752,8/25/2021,6/26/2022,2/2/2023,Hypertension medication adjustment,68726456.51,Closed,569-70-4201,CNT-CDP-6784-030
CLM-7020-653021,10/26/2013,12/29/2013,1/15/2023,Leukemia blood count monitoring,57028730.05,Partially Approved,182-88-8867,CNT-CDP-1336-550
CLM-0989-286764,3/30/2019,4/16/2022,11/5/2022,Ulcerative colitis colonoscopy,59768997.22,Pending Additional Information,395-82-3005,CNT-CDP-5550-244
CLM-3198-099990,11/12/2019,10/8/2020,7/25/2023,Ulcerative colitis colonoscopy,51124097.0,In Review,432-62-0999,CNT-CDP-2494-890
CLM-8723-729844,10/26/2019,6/22/2021,8/8/2020,Congestive heart failure fluid balance check,87999561.06,In Appeal,717-07-5526,CNT-CDP-0616-505
CLM-2510-481418,1/11/2021,3/18/2022,9/13/2023,IBS symptom management consultation,95692464.11,Pending Additional Information,491-65-7150,CNT-CDP-8578-432
CLM-5658-239673,9/12/2015,4/25/2019,11/6/2017,Chronic bronchitis pulmonary function test,95065480.53,Pending Additional Information,454-33-9195,CNT-CDP-4901-899
CLM-5463-477685,1/18/2015,4/10/2016,7/8/2019,Sickle cell anemia pain management,95595519.08,Submitted,156-20-0430,CNT-CDP-9700-206
CLM-2751-481686,6/17/2018,9/13/2019,1/17/2021,Prostate cancer PSA level check,44693956.14,In Appeal,679-76-7553,CNT-CDP-7858-277
CLM-1404-275327,8/16/2012,11/15/2018,11/3/2012,Polycystic kidney disease ultrasound,91375230.05,Closed,678-46-7924,CNT-CDP-4118-325
CLM-3250-321298,1/27/2012,11/14/2013,8/3/2013,Hypertension medication adjustment,88925096.47,Paid,898-59-7318,CNT-CDP-6834-795
CLM-0737-120825,7/27/2018,7/24/2019,10/14/2020,Diabetic retinopathy eye exam,28028897.5,Partially Approved,851-95-0098,CNT-CDP-9868-292
CLM-2632-389575,5/9/2013,5/25/2016,11/25/2023,HIV viral load testing,45426294.55,Partially Approved,779-71-0598,CNT-CDP-6141-785
CLM-0629-144055,10/20/2015,2/28/2021,12/8/2016,IBS symptom management consultation,2714008.88,Pending Additional Information,530-55-3998,CNT-CDP-9475-768
CLM-3924-030974,7/13/2011,1/27/2012,1/7/2019,Schizophrenia antipsychotic injection,28724691.55,In Appeal,690-52-2414,CNT-CDP-2907-573
CLM-5738-326207,5/29/2021,6/5/2023,2/28/2023,Crohn's disease nutritional counseling,73936728.36,Reopened,523-91-9584,CNT-CDP-4832-606
CLM-3245-243399,9/29/2013,6/19/2020,2/21/2019,Chronic depression therapy session,72336474.5,Submitted,340-15-6683,CNT-CDP-8555-060
CLM-8593-925867,5/13/2012,9/29/2017,4/20/2013,Peripheral artery disease circulation check,83328959.88,In Appeal,148-21-7841,CNT-CDP-9492-940
CLM-7984-197465,8/14/2021,5/20/2023,12/15/2022,IBS symptom management consultation,73517994.72,Denied,651-13-0356,CNT-CDP-2265-515
CLM-2983-417992,4/25/2010,6/1/2023,7/10/2013,Rheumatoid arthritis joint assessment,6811057.22,In Appeal,574-80-7274,CNT-CDP-4653-779
CLM-7141-881656,3/14/2021,9/27/2023,5/3/2022,COPD exacerbation treatment,2022281.89,In Review,592-86-6356,CNT-CDP-7027-736
CLM-2831-919975,8/14/2018,5/7/2020,8/19/2018,Glaucoma intraocular pressure check,2398722.89,Denied,865-27-7224,CNT-CDP-0045-043
CLM-9963-926840,7/19/2015,6/29/2017,3/10/2024,Prostate cancer PSA level check,44865514.12,Approved,143-99-8510,CNT-CDP-5160-561
CLM-0728-583435,8/31/2018,1/13/2022,6/23/2024,Cirrhosis liver function tests,80918987.83,Denied,552-33-0735,CNT-CDP-3402-858
CLM-9787-115103,12/18/2014,3/9/2019,11/25/2021,Leukemia blood count monitoring,66296463.49,Approved,842-03-5322,CNT-CDP-0196-684
CLM-9785-318060,2/23/2013,7/19/2018,9/29/2018,Thyroid hormone level check for hypothyroidism,31425176.39,Paid,118-17-2606,CNT-CDP-8620-279
CLM-6833-095249,8/10/2014,7/18/2015,1/26/2024,Alzheimer's disease cognitive assessment,25594847.95,Approved,134-16-1013,CNT-CDP-8556-256
CLM-3017-993668,10/11/2021,2/24/2024,7/9/2022,Polycystic kidney disease ultrasound,38103355.48,Paid,889-53-3084,CNT-CDP-5859-546
CLM-6794-921317,4/17/2020,12/23/2022,8/24/2023,Sleep apnea CPAP adjustment,84107425.78,In Review,452-87-3678,CNT-CDP-7006-280
CLM-5575-778933,5/18/2021,12/15/2023,10/28/2021,Colorectal cancer follow-up colonoscopy,63403297.54,Reopened,404-84-1685,CNT-CDP-6859-791
CLM-1684-533025,5/4/2020,3/12/2022,2/24/2024,Gout uric acid level monitoring,13977046.11,Paid,658-06-6620,CNT-CDP-8393-974
CLM-2735-714202,10/23/2010,12/6/2021,3/8/2017,Fibromyalgia pain management session,96438286.06,In Review,236-48-0351,CNT-CDP-6055-372
CLM-3399-288180,4/1/2016,6/25/2019,7/17/2021,Fibromyalgia pain management session,5088323.33,In Appeal,688-19-5112,CNT-CDP-9670-435
CLM-0336-618884,12/9/2011,9/30/2018,8/11/2022,Breast cancer chemotherapy session,88395608.06,Reopened,372-47-0343,CNT-CDP-6055-378
CLM-3357-047715,12/20/2013,1/28/2017,7/18/2018,Psoriasis phototherapy session,71279401.31,In Appeal,738-11-2006,CNT-CDP-9687-844
CLM-8964-450897,9/4/2015,1/24/2024,4/29/2022,HIV viral load testing,30102166.16,Pending Additional Information,688-89-2581,CNT-CDP-7461-885
CLM-8462-598336,1/28/2016,1/25/2023,2/16/2018,Prostate cancer PSA level check,41278943.57,In Review,809-10-6453,CNT-CDP-8383-950
CLM-8744-481887,9/26/2019,6/23/2021,10/14/2021,COPD exacerbation treatment,67341762.84,Partially Approved,596-98-2441,CNT-CDP-1302-592
CLM-6659-499218,2/8/2021,1/17/2024,2/16/2021,Colorectal cancer follow-up colonoscopy,8971225.53,Closed,210-11-8084,CNT-CDP-9768-397
CLM-5008-062614,1/4/2012,7/23/2023,8/7/2021,Parkinson's disease tremor assessment,11755671.97,Reopened,431-58-2023,CNT-CDP-4219-166
CLM-8129-890278,7/30/2019,11/29/2020,1/8/2021,Lupus flare-up management,13467769.63,Denied,172-35-4787,CNT-CDP-3385-096
CLM-7020-887480,2/26/2017,1/16/2022,1/16/2019,Chronic fatigue syndrome assessment,55911692.46,Partially Approved,467-05-2357,CNT-CDP-3936-853
CLM-0644-546098,12/20/2020,12/14/2021,2/13/2024,Schizophrenia antipsychotic injection,50973031.84,In Review,436-96-8969,CNT-CDP-5037-837
CLM-7670-993659,12/28/2015,12/27/2022,12/5/2016,Asthma inhaler refill and lung function test,84212406.95,Reopened,218-02-7702,CNT-CDP-0138-654
CLM-3339-315402,1/5/2021,12/19/2023,11/21/2022,Parkinson's disease tremor assessment,29598957.74,Partially Approved,191-29-1342,CNT-CDP-6722-563
CLM-2480-292713,8/27/2015,1/8/2016,9/21/2017,Psoriasis phototherapy session,24379700.91,Submitted,306-60-5337,CNT-CDP-6342-332
CLM-3073-324857,9/1/2013,6/8/2019,4/9/2015,Glaucoma intraocular pressure check,66337487.64,Partially Approved,418-74-6794,CNT-CDP-2683-741
CLM-6556-651431,3/20/2011,9/2/2014,11/9/2020,Hepatitis C antiviral therapy follow-up,59587242.28,Reopened,233-75-6662,CNT-CDP-0489-321
CLM-3910-472828,4/19/2012,10/24/2021,3/10/2016,Crohn's disease nutritional counseling,2764505.97,Partially Approved,490-40-1588,CNT-CDP-6784-383
CLM-3510-946336,12/18/2015,4/11/2024,5/11/2024,COPD exacerbation treatment,52614653.35,Denied,801-09-7708,CNT-CDP-6911-649
CLM-3763-757200,11/27/2013,3/31/2016,7/23/2022,Sleep apnea CPAP adjustment,32518176.11,Partially Approved,820-77-7245,CNT-CDP-9142-487
CLM-8546-090686,5/20/2010,12/22/2010,7/19/2019,Colorectal cancer follow-up colonoscopy,25557729.45,In Appeal,644-76-0661,CNT-CDP-9783-931
CLM-5996-353276,11/23/2014,1/17/2020,9/7/2016,Celiac disease nutritional consultation,1687212.21,Paid,405-13-6140,CNT-CDP-7206-838
CLM-1936-626530,5/6/2019,7/25/2022,8/12/2022,IBS symptom management consultation,42703862.97,Partially Approved,728-75-7814,CNT-CDP-1691-964
CLM-1266-340322,6/30/2021,3/1/2022,9/22/2023,Hepatitis C antiviral therapy follow-up,54820698.8,Partially Approved,874-87-4651,CNT-CDP-6491-686
CLM-8730-087026,11/9/2018,1/2/2021,7/22/2019,Glaucoma intraocular pressure check,39198982.44,Partially Approved,724-04-3417,CNT-CDP-4981-274
CLM-8159-862127,7/1/2017,5/11/2023,4/17/2021,Celiac disease nutritional consultation,72417213.71,Paid,690-83-3995,CNT-CDP-7386-126
CLM-5625-211853,7/20/2014,4/28/2017,4/13/2016,Cystic fibrosis respiratory therapy,124612.42,Approved,833-98-3310,CNT-CDP-8309-891
CLM-6002-114461,2/20/2012,3/15/2023,8/26/2022,Atrial fibrillation anticoagulation check,58726367.27,In Review,854-55-8741,CNT-CDP-1299-479
CLM-6624-150743,8/26/2020,5/11/2024,9/18/2021,Cystic fibrosis respiratory therapy,77956829.84,Approved,461-73-0545,CNT-CDP-0745-264
CLM-9895-170091,6/12/2016,9/25/2020,5/27/2024,Routine diabetes management check-up,22467434.56,Closed,102-28-3365,CNT-CDP-5910-468
CLM-9764-472709,1/15/2010,9/16/2021,3/19/2020,Chronic fatigue syndrome assessment,45650108.96,Paid,363-63-5170,CNT-CDP-3182-970
CLM-0150-331056,10/2/2012,11/19/2017,8/11/2023,Prostate cancer PSA level check,26904113.81,Approved,876-48-9091,CNT-CDP-4580-978
CLM-0679-307080,6/15/2017,4/4/2021,7/30/2023,Chronic migraine Botox treatment,74512703.9,Paid,205-97-6013,CNT-CDP-5608-302
CLM-1998-517214,4/26/2020,11/4/2022,5/12/2024,IBS symptom management consultation,68817223.91,Reopened,227-65-2844,CNT-CDP-8194-783
CLM-8149-589490,1/27/2018,5/31/2021,6/1/2018,Bipolar disorder medication adjustment,3482184.27,In Review,755-95-0852,CNT-CDP-6217-509
CLM-5807-939685,8/28/2018,6/12/2021,4/1/2019,Parkinson's disease tremor assessment,91313573.8,Approved,828-48-4165,CNT-CDP-4228-131
CLM-6089-721613,2/26/2011,5/15/2024,4/24/2013,Prostate cancer PSA level check,93372874.21,Pending Additional Information,638-35-6824,CNT-CDP-8370-550
CLM-0600-992399,3/3/2018,10/11/2018,4/12/2023,Chronic kidney disease dialysis session,16439779.47,Reopened,248-15-9410,CNT-CDP-7873-565
CLM-3738-946447,8/19/2016,5/14/2018,2/25/2019,Parkinson's disease tremor assessment,89179404.04,Partially Approved,199-41-1730,CNT-CDP-6366-750
CLM-3861-039336,8/24/2011,5/15/2020,12/1/2020,Hypertension medication adjustment,6001569.64,Pending Additional Information,696-80-9575,CNT-CDP-1241-826
CLM-3835-738125,8/1/2017,12/7/2022,9/19/2023,Hypertension medication adjustment,82907963.07,Paid,353-61-8866,CNT-CDP-4542-423
CLM-3668-321566,2/27/2021,4/13/2022,2/16/2023,Glaucoma intraocular pressure check,44201255.28,Denied,220-98-2671,CNT-CDP-8865-006
CLM-4746-735507,12/13/2014,2/28/2017,6/5/2015,Obesity management and counseling,79795702.66,Submitted,721-62-6220,CNT-CDP-1908-264
CLM-0553-212182,3/31/2010,7/12/2010,2/24/2015,Hepatitis C antiviral therapy follow-up,31428.61,In Review,389-48-3357,CNT-CDP-0466-712
CLM-3555-919681,7/23/2021,9/15/2021,7/6/2023,Epilepsy medication level monitoring,33035361.36,Partially Approved,881-67-1386,CNT-CDP-4921-307
CLM-2358-516168,11/22/2011,6/16/2016,3/18/2014,Lupus flare-up management,23151520.28,Approved,590-31-7629,CNT-CDP-0534-467
CLM-9386-230485,1/2/2011,9/7/2017,8/16/2017,Thyroid hormone level check for hypothyroidism,36934758.18,Submitted,304-51-8458,CNT-CDP-3473-243
CLM-9781-484418,5/21/2020,7/6/2023,3/15/2023,Obesity management and counseling,38006391.19,Reopened,748-37-1331,CNT-CDP-0658-463
CLM-2977-148404,2/23/2010,2/13/2019,9/28/2022,Hypertension medication adjustment,80697264.86,Pending Additional Information,110-62-5664,CNT-CDP-0936-342
CLM-1990-855927,3/1/2013,5/28/2015,5/24/2023,Routine diabetes management check-up,18493588.67,Pending Additional Information,820-50-5794,CNT-CDP-4659-484
CLM-9344-688213,6/9/2013,1/5/2015,7/13/2024,Thyroid hormone level check for hypothyroidism,89752450.87,Partially Approved,885-16-3442,CNT-CDP-0683-875
CLM-4731-580455,1/13/2017,3/18/2020,7/1/2020,Hemophilia factor replacement therapy,83783591.05,Approved,370-94-5257,CNT-CDP-8640-183
CLM-3938-212399,9/14/2010,5/4/2019,12/17/2021,Anxiety disorder cognitive behavioral therapy,96320518.53,Reopened,677-18-7196,CNT-CDP-6391-152
CLM-3100-087865,4/12/2014,8/7/2024,9/24/2015,Chronic fatigue syndrome assessment,14058382.86,Closed,373-97-4948,CNT-CDP-1744-820
CLM-6909-085131,9/6/2021,12/24/2023,4/30/2024,Osteoporosis bone density scan,99920734.79,Closed,466-99-1961,CNT-CDP-4421-061
CLM-6358-623355,11/4/2010,9/17/2011,1/6/2016,Rheumatoid arthritis joint assessment,28474775.47,Submitted,482-78-1086,CNT-CDP-8758-934
CLM-5324-295534,11/7/2016,6/6/2024,6/24/2020,Polycystic kidney disease ultrasound,84946831.42,Partially Approved,865-92-5086,CNT-CDP-0320-788
CLM-3912-018430,6/3/2020,1/15/2024,2/10/2024,Hepatitis C antiviral therapy follow-up,29761520.84,Pending Additional Information,165-23-5004,CNT-CDP-7756-274
CLM-2447-004606,8/7/2010,12/2/2014,10/7/2020,COPD exacerbation treatment,77481631.77,Reopened,340-32-3213,CNT-CDP-7401-540
CLM-3837-303696,11/2/2010,1/21/2011,4/16/2014,Peripheral artery disease circulation check,42794627.81,Pending Additional Information,243-17-4590,CNT-CDP-3251-625
CLM-7238-997629,4/22/2016,7/21/2020,1/17/2022,Chronic depression therapy session,53371106.14,Reopened,524-64-8226,CNT-CDP-4833-012
CLM-2286-101149,9/30/2021,3/9/2022,3/8/2023,Chronic fatigue syndrome assessment,39979493.86,In Review,397-35-4548,CNT-CDP-6515-388
CLM-5386-371513,8/25/2017,7/3/2023,9/17/2019,Glaucoma intraocular pressure check,66570538.38,Paid,620-10-6279,CNT-CDP-0764-907
CLM-7179-967395,12/28/2019,4/15/2023,3/22/2022,Osteoporosis bone density scan,37803657.35,Submitted,270-74-3923,CNT-CDP-4691-864
CLM-7664-115695,11/9/2021,11/13/2021,2/12/2024,Multiple sclerosis neurological exam,83967656.63,Pending Additional Information,759-07-8959,CNT-CDP-7269-106
CLM-3476-403763,2/24/2012,8/11/2016,11/11/2014,Graves' disease thyroid function test,73055746.08,Approved,147-15-8305,CNT-CDP-5184-234
CLM-6583-711537,6/27/2020,8/25/2022,12/14/2022,Crohn's disease nutritional counseling,73214542.56,Closed,883-01-4274,CNT-CDP-2089-762
CLM-7089-525051,5/18/2015,9/5/2018,8/1/2018,Colorectal cancer follow-up colonoscopy,4495552.72,Closed,409-27-3625,CNT-CDP-5436-308
CLM-0942-622146,1/12/2016,10/26/2017,3/4/2023,Breast cancer chemotherapy session,94592753.16,Approved,279-39-9928,CNT-CDP-0212-945
CLM-8094-063300,10/13/2019,12/1/2020,4/4/2021,Psoriasis phototherapy session,63289300.3,Pending Additional Information,828-58-5725,CNT-CDP-3707-775
CLM-6473-433333,1/21/2013,1/28/2013,9/20/2016,Routine diabetes management check-up,56743893.77,Paid,416-69-4686,CNT-CDP-5973-320
CLM-5178-856236,10/31/2013,11/23/2018,5/14/2022,Rheumatoid arthritis joint assessment,55914747.68,In Review,855-38-9043,CNT-CDP-8843-234
CLM-1972-538377,6/27/2021,8/1/2024,9/17/2022,Parkinson's disease tremor assessment,37574259.79,Partially Approved,636-92-3855,CNT-CDP-6174-353
CLM-2494-069745,5/3/2017,11/26/2017,3/23/2020,Ulcerative colitis colonoscopy,17421034.12,Submitted,442-40-4264,CNT-CDP-0227-977
CLM-2396-114320,8/8/2021,6/29/2024,10/12/2021,Anxiety disorder cognitive behavioral therapy,6544784.94,Approved,749-32-3224,CNT-CDP-6916-808
CLM-0794-388463,10/6/2011,8/15/2022,1/11/2018,Prostate cancer PSA level check,85894822.05,Submitted,835-58-6346,CNT-CDP-9470-533
CLM-2498-186730,2/24/2021,12/24/2023,9/29/2022,Crohn's disease nutritional counseling,60657487.16,Submitted,330-44-3276,CNT-CDP-5884-498
CLM-2140-028646,10/27/2015,10/8/2016,5/28/2017,Sjogren's syndrome dry eye treatment,94789918.63,Denied,189-11-4257,CNT-CDP-6944-916
CLM-7104-380577,7/20/2016,1/13/2024,10/11/2017,Addison's disease hormone replacement,13516848.11,Paid,467-78-0549,CNT-CDP-0958-779
CLM-9017-818676,9/25/2016,10/7/2018,1/16/2017,Parkinson's disease tremor assessment,84503121.93,Partially Approved,642-23-4122,CNT-CDP-0939-082
CLM-0754-282736,10/19/2019,6/10/2021,2/7/2023,IBS symptom management consultation,75891647.79,In Appeal,528-41-5540,CNT-CDP-0364-861
CLM-1470-141898,12/4/2019,6/19/2023,6/25/2024,Chronic depression therapy session,5584230.79,Closed,279-28-7969,CNT-CDP-2255-039
CLM-6710-166322,8/4/2010,8/3/2024,7/12/2020,Crohn's disease nutritional counseling,82298123.9,Denied,227-05-2354,CNT-CDP-4472-033
CLM-5196-678956,3/30/2012,8/5/2019,10/19/2012,Bipolar disorder medication adjustment,74434241.24,Approved,432-97-0414,CNT-CDP-1132-893
CLM-0698-031546,10/27/2014,2/24/2021,5/20/2020,Cystic fibrosis respiratory therapy,40155463.78,Approved,263-29-7390,CNT-CDP-4908-047
CLM-0020-680477,10/13/2011,3/7/2024,8/15/2019,Breast cancer chemotherapy session,39397861.11,In Review,555-68-2746,CNT-CDP-8562-124
CLM-6862-707625,4/20/2011,11/1/2023,3/12/2016,Addison's disease hormone replacement,77662516.31,Submitted,613-80-3254,CNT-CDP-1023-535
CLM-6746-341609,4/13/2010,8/27/2011,9/29/2012,Diabetic retinopathy eye exam,86013854.09,Pending Additional Information,172-20-1198,CNT-CDP-7589-366
CLM-5160-016167,5/9/2015,12/22/2017,7/28/2022,Hemophilia factor replacement therapy,18050643.12,Pending Additional Information,452-74-2533,CNT-CDP-7641-256
CLM-1195-500897,2/15/2014,2/10/2017,8/19/2023,Endometriosis pain management,83888253.87,Partially Approved,420-64-2273,CNT-CDP-5327-190
CLM-8294-212435,2/28/2020,1/24/2023,1/3/2024,Cirrhosis liver function tests,59212779.47,Pending Additional Information,333-64-7655,CNT-CDP-1547-355
CLM-5236-549360,1/25/2017,3/28/2022,11/29/2018,Chronic depression therapy session,53754913.26,Partially Approved,581-90-0982,CNT-CDP-7174-379
