PremiumCode,ContractNumber,CustomerSSN,PremiumAmount,PremiumFrequency,PaymentMethod,Status
PREM0551,CNT-CDP-9213-941,446-41-6870,594,Querterly,Credit or Debit Card,Expired
PREM7119,CNT-CDP-4697-553,748-18-5529,2130,Monthly,Direct Debit/Automatic Withdrawal,Suspended
PREM5179,CNT-CDP-7012-459,730-87-9665,1401,Annually,Online Payment Portals,Pending
PREM5436,CNT-CDP-1731-897,654-30-6134,5133,Querterly,Direct Debit/Automatic Withdrawal,Overdue
PREM7948,CNT-CDP-1528-993,305-32-7126,7116,Monthly,Electronic Funds Transfer (EFT),Lapsed
PREM6211,CNT-CDP-0745-264,823-30-1230,7650,Monthly,Phone Payments,Active
PREM1971,CNT-CDP-4071-313,394-39-8605,9467,Annually,Online Payment Portals,Lapsed
PREM8012,CNT-CDP-1755-795,577-06-7349,9997,Annually,Check,Renewed
PREM1699,CNT-CDP-0059-008,845-85-8761,2724,Semi-Annually,Direct Debit/Automatic Withdrawal,Lapsed
PREM7367,CNT-CDP-7386-126,204-89-0224,805,Querterly,Check,Active
PREM4688,CNT-CDP-1744-820,232-36-4675,201,Annually,Mobile Payment Apps,Pending
PREM8355,CNT-CDP-0873-808,135-79-2822,9616,Annually,Online Payment Portals,Suspended
PREM6991,CNT-CDP-6217-509,565-68-9682,1328,Monthly,Electronic Funds Transfer (EFT),Overdue
PREM5705,CNT-CDP-8773-043,430-79-6857,8431,Annually,Electronic Funds Transfer (EFT),Expired
PREM4398,CNT-CDP-5348-125,498-47-0662,6931,Querterly,Mobile Payment Apps,Expired
PREM3424,CNT-CDP-2948-417,366-76-1690,4278,Monthly,Credit or Debit Card,Overdue
PREM1557,CNT-CDP-6671-361,786-23-4888,2526,Querterly,Direct Debit/Automatic Withdrawal,Suspended
PREM3649,CNT-CDP-7486-471,320-72-8082,6592,Monthly,Credit or Debit Card,Lapsed
PREM6653,CNT-CDP-3791-760,587-46-8092,9078,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM4039,CNT-CDP-8945-045,194-32-2924,3985,Semi-Annually,Direct Debit/Automatic Withdrawal,Active
PREM7541,CNT-CDP-4706-084,809-02-4761,4534,Querterly,Credit or Debit Card,Lapsed
PREM0468,CNT-CDP-3954-692,122-82-0920,7080,Monthly,In-Person Payments,Renewed
PREM4588,CNT-CDP-7461-885,330-89-0336,5010,Querterly,Electronic Funds Transfer (EFT),Expired
PREM4223,CNT-CDP-6833-954,749-97-9210,76,Monthly,Mobile Payment Apps,Active
PREM9728,CNT-CDP-8620-279,350-82-8206,3922,Monthly,Credit or Debit Card,Suspended
PREM9341,CNT-CDP-6391-152,472-83-8236,3372,Monthly,In-Person Payments,Lapsed
PREM4025,CNT-CDP-8971-863,297-67-6147,2707,Monthly,Direct Debit/Automatic Withdrawal,Pending
PREM9339,CNT-CDP-7846-837,779-38-6747,3960,Monthly,Check,Suspended
PREM0505,CNT-CDP-3173-410,397-05-4780,3633,Semi-Annually,Online Payment Portals,Expired
PREM7161,CNT-CDP-6612-374,469-65-9333,2665,Semi-Annually,Credit or Debit Card,Lapsed
PREM7164,CNT-CDP-0826-776,584-74-5070,1619,Monthly,Mobile Payment Apps,Renewed
PREM1331,CNT-CDP-3540-143,313-95-3567,9625,Monthly,Electronic Funds Transfer (EFT),Active
PREM6147,CNT-CDP-1106-486,684-54-0608,1149,Querterly,Credit or Debit Card,Expired
PREM1103,CNT-CDP-0648-936,678-24-3779,4733,Annually,Phone Payments,Lapsed
PREM5457,CNT-CDP-4580-978,479-25-3635,814,Monthly,Online Payment Portals,Pending
PREM9190,CNT-CDP-7038-625,856-84-5835,7661,Semi-Annually,Online Payment Portals,Overdue
PREM6399,CNT-CDP-7225-678,255-68-1656,7785,Querterly,Credit or Debit Card,Suspended
PREM6296,CNT-CDP-3821-674,309-18-0710,3028,Monthly,Direct Debit/Automatic Withdrawal,Overdue
PREM0293,CNT-CDP-8322-326,386-35-2129,8737,Semi-Annually,Check,Pending
PREM8834,CNT-CDP-9035-645,611-29-2776,9066,Semi-Annually,Mobile Payment Apps,Renewed
PREM6902,CNT-CDP-9726-381,196-90-9715,4731,Annually,Check,Lapsed
PREM8889,CNT-CDP-8381-392,748-18-5529,4861,Monthly,Check,Pending
PREM2306,CNT-CDP-9737-633,743-99-0167,8578,Annually,Electronic Funds Transfer (EFT),Overdue
PREM1441,CNT-CDP-3722-698,335-18-2624,2350,Monthly,Online Payment Portals,Pending
PREM8749,CNT-CDP-6703-032,611-49-6271,5050,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM5971,CNT-CDP-3272-397,417-81-9390,4647,Querterly,Phone Payments,Pending
PREM5777,CNT-CDP-0012-149,157-96-5213,8866,Monthly,Mobile Payment Apps,Suspended
PREM1494,CNT-CDP-7316-520,159-60-4499,4839,Semi-Annually,In-Person Payments,Suspended
PREM4454,CNT-CDP-8711-127,483-11-4619,7856,Monthly,Check,Expired
PREM0972,CNT-CDP-2948-417,366-76-1690,8607,Semi-Annually,In-Person Payments,Lapsed
PREM5012,CNT-CDP-8309-891,521-61-8005,2081,Annually,Credit or Debit Card,Active
PREM2745,CNT-CDP-5664-951,417-63-0056,5538,Semi-Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM3747,CNT-CDP-6784-030,505-12-3386,4509,Annually,Credit or Debit Card,Expired
PREM8223,CNT-CDP-7840-240,213-89-8076,6957,Semi-Annually,Online Payment Portals,Lapsed
PREM9483,CNT-CDP-3385-096,411-70-3989,8058,Annually,Mobile Payment Apps,Renewed
PREM6333,CNT-CDP-9033-520,630-51-1682,6388,Monthly,In-Person Payments,Suspended
PREM8913,CNT-CDP-9670-435,369-81-1487,6239,Monthly,Direct Debit/Automatic Withdrawal,Expired
PREM0531,CNT-CDP-4430-615,320-47-9640,2871,Querterly,Phone Payments,Expired
PREM5859,CNT-CDP-1708-875,653-48-2778,5776,Monthly,Phone Payments,Overdue
PREM4885,CNT-CDP-7041-635,821-30-6004,7837,Monthly,Electronic Funds Transfer (EFT),Cancelled
PREM0060,CNT-CDP-2779-510,364-43-2698,9100,Querterly,Check,Pending
PREM6009,CNT-CDP-9688-417,869-20-0883,8952,Monthly,Phone Payments,Expired
PREM9597,CNT-CDP-4470-928,364-56-0809,2897,Annually,In-Person Payments,Expired
PREM0388,CNT-CDP-8399-261,420-93-0043,6810,Querterly,Electronic Funds Transfer (EFT),Pending
PREM0499,CNT-CDP-9269-169,384-12-1031,3395,Monthly,In-Person Payments,Expired
PREM1019,CNT-CDP-7980-782,176-84-2096,922,Semi-Annually,Phone Payments,Expired
PREM1202,CNT-CDP-2255-039,204-89-0224,8549,Annually,Direct Debit/Automatic Withdrawal,Active
PREM4183,CNT-CDP-9193-513,291-23-3142,54,Querterly,Online Payment Portals,Cancelled
PREM9329,CNT-CDP-8741-560,811-79-7478,9183,Querterly,Check,Expired
PREM6430,CNT-CDP-2082-812,441-45-4434,2241,Annually,Direct Debit/Automatic Withdrawal,Pending
PREM4838,CNT-CDP-0541-865,674-16-7205,3864,Semi-Annually,Mobile Payment Apps,Pending
PREM9355,CNT-CDP-6674-789,261-37-4176,8467,Semi-Annually,Direct Debit/Automatic Withdrawal,Pending
PREM9543,CNT-CDP-0616-505,863-28-4647,3779,Querterly,Check,Renewed
PREM5497,CNT-CDP-0043-128,369-81-1487,4824,Monthly,Electronic Funds Transfer (EFT),Cancelled
PREM2604,CNT-CDP-2291-941,831-70-3318,8792,Monthly,Mobile Payment Apps,Suspended
PREM4158,CNT-CDP-8132-693,601-93-8041,7567,Monthly,Check,Expired
PREM1009,CNT-CDP-2934-125,523-80-3435,3754,Querterly,In-Person Payments,Lapsed
PREM6518,CNT-CDP-4915-489,568-17-3551,4495,Semi-Annually,In-Person Payments,Overdue
PREM4990,CNT-CDP-0376-223,240-36-3667,9669,Monthly,Direct Debit/Automatic Withdrawal,Lapsed
PREM1006,CNT-CDP-8865-006,709-74-7875,1801,Semi-Annually,Check,Cancelled
PREM7800,CNT-CDP-6145-479,885-28-7203,8068,Monthly,Mobile Payment Apps,Renewed
PREM6797,CNT-CDP-1303-991,409-48-5094,4,Monthly,Mobile Payment Apps,Overdue
PREM3151,CNT-CDP-4832-606,160-36-8380,20,Semi-Annually,Online Payment Portals,Cancelled
PREM7529,CNT-CDP-5856-605,347-63-3246,8,Semi-Annually,Check,Active
PREM3510,CNT-CDP-1794-354,417-63-0056,5565,Monthly,Credit or Debit Card,Suspended
PREM2745,CNT-CDP-3673-368,850-49-5357,4096,Monthly,Credit or Debit Card,Active
PREM4921,CNT-CDP-0506-660,541-57-2145,3861,Monthly,Mobile Payment Apps,Renewed
PREM5521,CNT-CDP-3502-551,788-15-9864,6830,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM9424,CNT-CDP-0206-644,429-65-7811,126,Querterly,Phone Payments,Renewed
PREM1072,CNT-CDP-4365-728,335-22-1485,1782,Querterly,Check,Overdue
PREM5893,CNT-CDP-4388-592,578-71-8021,1691,Annually,Direct Debit/Automatic Withdrawal,Active
PREM4919,CNT-CDP-4874-154,130-44-9143,4000,Annually,Phone Payments,Lapsed
PREM4184,CNT-CDP-7767-366,522-74-5310,3029,Monthly,Online Payment Portals,Cancelled
PREM3115,CNT-CDP-2268-140,571-01-2642,8301,Annually,Phone Payments,Pending
PREM9964,CNT-CDP-8556-256,165-41-9536,3011,Semi-Annually,Mobile Payment Apps,Pending
PREM0757,CNT-CDP-8627-277,295-17-0041,3764,Annually,Check,Pending
PREM6686,CNT-CDP-0192-106,386-35-2129,4935,Annually,Check,Overdue
PREM2155,CNT-CDP-6674-789,261-37-4176,1252,Querterly,Direct Debit/Automatic Withdrawal,Suspended
PREM1428,CNT-CDP-5102-868,421-25-3301,3927,Monthly,Mobile Payment Apps,Suspended
PREM4145,CNT-CDP-0220-379,560-54-1044,601,Annually,Phone Payments,Expired
PREM4544,CNT-CDP-0034-578,192-60-6314,6117,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM0143,CNT-CDP-4529-606,683-18-9050,3002,Monthly,Mobile Payment Apps,Cancelled
PREM5794,CNT-CDP-5796-269,207-74-6999,4640,Annually,Mobile Payment Apps,Expired
PREM7809,CNT-CDP-6686-333,172-93-6292,5316,Semi-Annually,Electronic Funds Transfer (EFT),Lapsed
PREM4840,CNT-CDP-3173-410,397-05-4780,3266,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM0539,CNT-CDP-2832-547,295-50-6362,3730,Monthly,In-Person Payments,Pending
PREM9670,CNT-CDP-5357-954,618-65-3141,4033,Monthly,Check,Pending
PREM7062,CNT-CDP-2968-518,707-70-2974,8094,Monthly,Online Payment Portals,Active
PREM8029,CNT-CDP-9435-295,378-87-1056,5481,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM7355,CNT-CDP-5039-924,107-22-6715,740,Annually,Credit or Debit Card,Expired
PREM2890,CNT-CDP-8916-844,176-91-5939,6356,Querterly,Credit or Debit Card,Lapsed
PREM7633,CNT-CDP-6399-413,425-60-9329,9607,Semi-Annually,Electronic Funds Transfer (EFT),Suspended
PREM0944,CNT-CDP-4655-347,253-85-8722,4776,Semi-Annually,Credit or Debit Card,Lapsed
PREM9597,CNT-CDP-2401-328,532-93-7617,8966,Monthly,Online Payment Portals,Cancelled
PREM0923,CNT-CDP-8889-788,702-29-5126,5748,Monthly,Online Payment Portals,Active
PREM1144,CNT-CDP-7460-400,729-52-4503,7094,Monthly,Phone Payments,Lapsed
PREM7634,CNT-CDP-9120-282,379-80-0956,8953,Monthly,Credit or Debit Card,Lapsed
PREM5828,CNT-CDP-6587-959,283-48-1886,2017,Annually,Check,Expired
PREM9912,CNT-CDP-7225-678,255-68-1656,8848,Annually,Phone Payments,Active
PREM4847,CNT-CDP-8971-863,297-67-6147,9371,Querterly,In-Person Payments,Cancelled
PREM3507,CNT-CDP-7212-177,348-43-7882,9484,Semi-Annually,Phone Payments,Active
PREM1236,CNT-CDP-1302-592,780-52-0025,1433,Querterly,Check,Active
PREM4830,CNT-CDP-8556-256,165-41-9536,5322,Annually,Credit or Debit Card,Renewed
PREM7840,CNT-CDP-6384-458,577-94-4504,7191,Annually,In-Person Payments,Pending
PREM4805,CNT-CDP-3895-588,364-43-2698,7973,Semi-Annually,Credit or Debit Card,Cancelled
PREM5692,CNT-CDP-1752-610,205-22-8990,7982,Querterly,Direct Debit/Automatic Withdrawal,Suspended
PREM3455,CNT-CDP-9120-282,379-80-0956,6638,Querterly,Direct Debit/Automatic Withdrawal,Active
PREM5334,CNT-CDP-2849-882,532-85-3774,6850,Monthly,Electronic Funds Transfer (EFT),Active
PREM8813,CNT-CDP-2875-651,572-52-6215,5080,Monthly,Check,Overdue
PREM8378,CNT-CDP-9470-533,331-86-5929,4476,Querterly,Credit or Debit Card,Pending
PREM2694,CNT-CDP-9973-546,682-15-3715,9868,Semi-Annually,Mobile Payment Apps,Active
PREM2251,CNT-CDP-2559-978,482-40-1690,5557,Semi-Annually,Phone Payments,Expired
PREM7734,CNT-CDP-3835-236,107-43-5220,513,Monthly,Electronic Funds Transfer (EFT),Overdue
PREM8723,CNT-CDP-6853-799,369-01-4000,7450,Semi-Annually,Electronic Funds Transfer (EFT),Overdue
PREM7015,CNT-CDP-8865-006,709-74-7875,7242,Monthly,Direct Debit/Automatic Withdrawal,Pending
PREM3502,CNT-CDP-7041-635,821-30-6004,1532,Monthly,Electronic Funds Transfer (EFT),Suspended
PREM9832,CNT-CDP-9804-486,532-85-3774,3878,Semi-Annually,Check,Active
PREM9013,CNT-CDP-6539-835,739-86-6514,1434,Querterly,In-Person Payments,Suspended
PREM4377,CNT-CDP-4298-194,653-48-2778,2988,Semi-Annually,Online Payment Portals,Lapsed
PREM3528,CNT-CDP-4833-012,532-85-3774,5565,Monthly,Electronic Funds Transfer (EFT),Cancelled
PREM5469,CNT-CDP-4726-769,309-64-6753,999,Annually,Electronic Funds Transfer (EFT),Lapsed
PREM1875,CNT-CDP-3936-853,177-43-9176,6173,Annually,Online Payment Portals,Renewed
PREM8158,CNT-CDP-6192-370,688-16-5212,4656,Annually,Credit or Debit Card,Cancelled
PREM4261,CNT-CDP-2104-665,399-40-1520,4124,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM9066,CNT-CDP-4691-864,577-44-6995,4334,Semi-Annually,Phone Payments,Pending
PREM9138,CNT-CDP-0506-660,541-57-2145,8755,Semi-Annually,Online Payment Portals,Overdue
PREM3531,CNT-CDP-7299-158,281-62-2599,8214,Monthly,Credit or Debit Card,Expired
PREM3617,CNT-CDP-5587-142,410-82-3708,7851,Querterly,Check,Cancelled
PREM3610,CNT-CDP-7904-696,400-21-1001,4209,Monthly,Direct Debit/Automatic Withdrawal,Overdue
PREM6271,CNT-CDP-1981-863,471-25-7860,5452,Monthly,Online Payment Portals,Suspended
PREM2813,CNT-CDP-4117-855,882-29-5174,8258,Querterly,Check,Active
PREM9737,CNT-CDP-3408-470,831-61-9528,1680,Querterly,Check,Pending
PREM9718,CNT-CDP-8132-693,601-93-8041,5832,Querterly,In-Person Payments,Pending
PREM0447,CNT-CDP-9881-842,391-99-3823,1488,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM3674,CNT-CDP-4379-909,545-54-0867,6819,Querterly,Direct Debit/Automatic Withdrawal,Overdue
PREM0859,CNT-CDP-7938-639,307-44-4074,5783,Annually,Online Payment Portals,Expired
PREM2163,CNT-CDP-8495-917,618-40-5613,9148,Semi-Annually,Phone Payments,Lapsed
PREM4227,CNT-CDP-3895-588,364-43-2698,1680,Annually,Online Payment Portals,Overdue
PREM3041,CNT-CDP-4435-896,384-51-6805,5135,Semi-Annually,Mobile Payment Apps,Cancelled
PREM8884,CNT-CDP-0453-769,769-30-2685,2992,Semi-Annually,Mobile Payment Apps,Pending
PREM6048,CNT-CDP-8958-285,432-40-6023,8294,Monthly,Online Payment Portals,Active
PREM7458,CNT-CDP-6814-078,154-64-8431,8771,Semi-Annually,Check,Suspended
PREM9945,CNT-CDP-5039-924,107-22-6715,9998,Annually,Phone Payments,Lapsed
PREM3924,CNT-CDP-0439-088,483-35-2656,9664,Monthly,Credit or Debit Card,Suspended
PREM8723,CNT-CDP-1681-460,484-11-7643,9295,Annually,Electronic Funds Transfer (EFT),Cancelled
PREM5122,CNT-CDP-3830-130,648-58-2228,3602,Querterly,Phone Payments,Expired
PREM2728,CNT-CDP-7741-528,601-93-8041,7115,Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM0409,CNT-CDP-8064-734,235-15-1117,8716,Monthly,Mobile Payment Apps,Overdue
PREM4777,CNT-CDP-9208-549,309-54-2863,3802,Annually,Electronic Funds Transfer (EFT),Renewed
PREM8308,CNT-CDP-4246-537,443-29-7883,5648,Monthly,Phone Payments,Expired
PREM6454,CNT-CDP-9352-861,485-56-3024,4096,Annually,In-Person Payments,Overdue
PREM3522,CNT-CDP-6654-149,708-53-8002,7542,Querterly,In-Person Payments,Pending
PREM9036,CNT-CDP-4366-796,582-84-5518,6807,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM4605,CNT-CDP-8176-312,718-24-9799,4013,Semi-Annually,Mobile Payment Apps,Overdue
PREM8367,CNT-CDP-0658-463,144-57-2660,4276,Annually,Check,Active
PREM2660,CNT-CDP-1585-636,608-97-9026,8510,Monthly,Online Payment Portals,Pending
PREM2671,CNT-CDP-6784-885,126-23-8300,4279,Annually,Electronic Funds Transfer (EFT),Renewed
PREM7345,CNT-CDP-4859-484,435-10-4849,2692,Querterly,Check,Lapsed
PREM9427,CNT-CDP-8598-484,826-78-8664,4773,Semi-Annually,Online Payment Portals,Suspended
PREM6004,CNT-CDP-6703-939,622-11-1615,196,Annually,Online Payment Portals,Expired
PREM8190,CNT-CDP-0393-340,185-83-8289,691,Annually,Credit or Debit Card,Lapsed
PREM6033,CNT-CDP-1350-212,572-52-6215,1598,Semi-Annually,In-Person Payments,Pending
PREM7650,CNT-CDP-4470-928,364-56-0809,4984,Semi-Annually,In-Person Payments,Lapsed
PREM5640,CNT-CDP-6376-598,206-82-9014,1768,Querterly,Credit or Debit Card,Active
PREM3916,CNT-CDP-1303-878,803-89-9048,3908,Semi-Annually,Mobile Payment Apps,Suspended
PREM2860,CNT-CDP-2664-430,505-40-2843,3920,Querterly,Direct Debit/Automatic Withdrawal,Renewed
PREM0277,CNT-CDP-1642-307,569-98-8973,9828,Querterly,In-Person Payments,Active
PREM8487,CNT-CDP-2125-864,271-25-6631,1064,Annually,Electronic Funds Transfer (EFT),Pending
PREM5646,CNT-CDP-2683-741,306-27-1825,2503,Monthly,Electronic Funds Transfer (EFT),Active
PREM0491,CNT-CDP-1691-543,526-47-3815,972,Monthly,Mobile Payment Apps,Pending
PREM8305,CNT-CDP-9199-884,430-57-8881,3670,Semi-Annually,Phone Payments,Pending
PREM8523,CNT-CDP-1451-468,472-69-9538,3029,Querterly,Online Payment Portals,Active
PREM3274,CNT-CDP-2846-703,290-40-6634,9465,Monthly,Check,Expired
PREM4560,CNT-CDP-3951-998,401-04-8498,5480,Monthly,Online Payment Portals,Pending
PREM1426,CNT-CDP-7893-229,453-66-2725,219,Querterly,Phone Payments,Renewed
PREM3122,CNT-CDP-2327-965,556-44-4543,1500,Annually,Electronic Funds Transfer (EFT),Expired
PREM0978,CNT-CDP-0764-907,168-94-1362,5511,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM0432,CNT-CDP-0873-808,135-79-2822,3090,Annually,Online Payment Portals,Suspended
PREM6923,CNT-CDP-1598-945,194-03-6170,4718,Monthly,Check,Suspended
PREM5395,CNT-CDP-9959-328,309-64-6753,2319,Querterly,Credit or Debit Card,Expired
PREM4003,CNT-CDP-7840-240,213-89-8076,5035,Annually,Check,Pending
PREM9111,CNT-CDP-4379-909,545-54-0867,5534,Monthly,Online Payment Portals,Renewed
PREM6632,CNT-CDP-2478-608,583-74-6686,7027,Semi-Annually,In-Person Payments,Suspended
PREM8759,CNT-CDP-0226-497,897-52-4675,7403,Querterly,Credit or Debit Card,Expired
PREM7953,CNT-CDP-7934-726,708-86-3495,8401,Querterly,In-Person Payments,Lapsed
PREM5819,CNT-CDP-7570-004,333-94-4387,7282,Semi-Annually,In-Person Payments,Cancelled
PREM5985,CNT-CDP-6916-808,117-05-3734,4056,Monthly,Check,Renewed
PREM0257,CNT-CDP-7487-651,307-13-0638,1901,Annually,Mobile Payment Apps,Active
PREM0680,CNT-CDP-9534-381,859-29-5605,3616,Monthly,Online Payment Portals,Renewed
PREM6628,CNT-CDP-9475-768,660-89-2485,7144,Monthly,Credit or Debit Card,Lapsed
PREM4535,CNT-CDP-5199-683,652-70-9706,9227,Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM0937,CNT-CDP-0658-463,144-57-2660,1311,Annually,Mobile Payment Apps,Expired
PREM6919,CNT-CDP-4366-796,582-84-5518,7515,Querterly,Mobile Payment Apps,Pending
PREM8561,CNT-CDP-6461-353,527-99-2794,5577,Annually,Credit or Debit Card,Renewed
PREM8384,CNT-CDP-3716-837,726-09-9498,1171,Semi-Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM8250,CNT-CDP-8303-782,484-11-7643,9038,Monthly,Online Payment Portals,Pending
PREM1302,CNT-CDP-2771-099,590-14-9022,508,Annually,Direct Debit/Automatic Withdrawal,Pending
PREM3119,CNT-CDP-4884-670,863-58-3723,4702,Semi-Annually,Mobile Payment Apps,Cancelled
PREM1400,CNT-CDP-4238-598,646-41-5274,5493,Semi-Annually,Electronic Funds Transfer (EFT),Lapsed
PREM2832,CNT-CDP-7552-534,706-92-3972,6458,Annually,Check,Suspended
PREM2553,CNT-CDP-8097-521,571-27-8259,471,Monthly,Direct Debit/Automatic Withdrawal,Overdue
PREM3841,CNT-CDP-9470-533,331-86-5929,8460,Annually,In-Person Payments,Overdue
PREM5910,CNT-CDP-2460-019,397-69-2805,7538,Semi-Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM0824,CNT-CDP-8836-480,589-94-4692,6371,Semi-Annually,Online Payment Portals,Active
PREM6292,CNT-CDP-7619-646,742-02-5983,8584,Querterly,Electronic Funds Transfer (EFT),Lapsed
PREM2282,CNT-CDP-2962-572,522-29-3424,5001,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM1118,CNT-CDP-8651-605,516-04-6814,332,Monthly,Check,Active
PREM1670,CNT-CDP-9269-169,384-12-1031,7121,Semi-Annually,Credit or Debit Card,Overdue
PREM6419,CNT-CDP-4967-777,417-81-9390,3424,Annually,Mobile Payment Apps,Pending
PREM1943,CNT-CDP-3629-412,638-84-9548,7620,Monthly,Credit or Debit Card,Suspended
PREM9257,CNT-CDP-9831-777,482-40-1690,9612,Annually,Phone Payments,Pending
PREM9933,CNT-CDP-0080-363,852-03-7194,2292,Semi-Annually,Online Payment Portals,Overdue
PREM3823,CNT-CDP-2640-709,743-99-0167,5394,Querterly,In-Person Payments,Pending
PREM9910,CNT-CDP-1435-185,659-84-4620,788,Annually,Check,Overdue
PREM5164,CNT-CDP-0152-682,399-02-7593,444,Annually,Electronic Funds Transfer (EFT),Cancelled
PREM7627,CNT-CDP-5803-851,622-30-1101,6031,Semi-Annually,In-Person Payments,Pending
PREM5270,CNT-CDP-9804-486,532-85-3774,6110,Monthly,Mobile Payment Apps,Active
PREM5814,CNT-CDP-6185-150,235-15-1117,1024,Semi-Annually,Online Payment Portals,Expired
PREM6678,CNT-CDP-4238-598,646-41-5274,3177,Querterly,Mobile Payment Apps,Pending
PREM0908,CNT-CDP-2846-703,290-40-6634,6171,Monthly,Direct Debit/Automatic Withdrawal,Pending
PREM0692,CNT-CDP-7379-495,683-23-9060,88,Annually,Phone Payments,Lapsed
PREM4292,CNT-CDP-7089-233,400-01-7648,3145,Monthly,Mobile Payment Apps,Active
PREM4708,CNT-CDP-0648-936,678-24-3779,9363,Semi-Annually,Check,Lapsed
PREM6692,CNT-CDP-6281-979,571-27-8259,292,Annually,Online Payment Portals,Suspended
PREM8253,CNT-CDP-8743-030,112-96-8059,4244,Querterly,Credit or Debit Card,Overdue
PREM4501,CNT-CDP-2290-256,508-50-1790,4338,Monthly,Check,Suspended
PREM1223,CNT-CDP-9688-417,869-20-0883,6591,Monthly,Credit or Debit Card,Overdue
PREM5845,CNT-CDP-7848-670,122-55-4301,5557,Semi-Annually,Mobile Payment Apps,Suspended
PREM2515,CNT-CDP-2283-636,469-18-8371,266,Annually,Credit or Debit Card,Overdue
PREM5218,CNT-CDP-4885-368,522-74-3333,679,Annually,Phone Payments,Active
PREM7874,CNT-CDP-5856-605,347-63-3246,7110,Semi-Annually,Phone Payments,Active
PREM7706,CNT-CDP-4771-659,355-88-3336,5361,Querterly,Check,Overdue
PREM1460,CNT-CDP-1664-571,544-08-8528,5628,Annually,Online Payment Portals,Cancelled
PREM8160,CNT-CDP-2919-841,803-46-9263,9233,Annually,Credit or Debit Card,Active
PREM0480,CNT-CDP-8865-006,709-74-7875,3176,Annually,In-Person Payments,Suspended
PREM7876,CNT-CDP-6949-058,707-14-3743,5624,Querterly,Online Payment Portals,Renewed
PREM5629,CNT-CDP-4879-954,478-48-7443,1732,Querterly,Check,Expired
PREM2030,CNT-CDP-1054-629,653-48-2778,7704,Monthly,Electronic Funds Transfer (EFT),Active
PREM4835,CNT-CDP-2640-709,743-99-0167,4080,Annually,In-Person Payments,Expired
PREM0307,CNT-CDP-0848-075,329-77-4299,3058,Annually,Phone Payments,Pending
PREM8013,CNT-CDP-5220-091,639-59-5909,3110,Annually,Credit or Debit Card,Active
PREM5437,CNT-CDP-3473-243,879-99-8554,3521,Querterly,Online Payment Portals,Overdue
PREM6606,CNT-CDP-1726-079,763-27-4967,2985,Semi-Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM8211,CNT-CDP-7767-366,522-74-5310,92,Semi-Annually,Direct Debit/Automatic Withdrawal,Lapsed
PREM6668,CNT-CDP-0094-053,382-06-6800,7393,Querterly,In-Person Payments,Suspended
PREM7062,CNT-CDP-5463-404,890-42-9829,6337,Annually,Electronic Funds Transfer (EFT),Expired
PREM9998,CNT-CDP-8624-324,640-73-8121,4737,Querterly,Online Payment Portals,Expired
PREM0525,CNT-CDP-8495-917,618-40-5613,5997,Querterly,Mobile Payment Apps,Suspended
PREM8742,CNT-CDP-9917-012,234-75-7522,5817,Annually,Mobile Payment Apps,Suspended
PREM1960,CNT-CDP-4832-606,160-36-8380,4342,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM2843,CNT-CDP-5138-432,485-17-0690,3432,Querterly,Check,Expired
PREM4738,CNT-CDP-4025-134,657-47-2248,7227,Monthly,Check,Pending
PREM0282,CNT-CDP-9071-527,410-01-6579,3810,Monthly,In-Person Payments,Overdue
PREM7909,CNT-CDP-6654-149,708-53-8002,2542,Semi-Annually,Credit or Debit Card,Expired
PREM8569,CNT-CDP-4692-704,137-73-4935,5941,Querterly,Online Payment Portals,Lapsed
PREM1727,CNT-CDP-3115-981,478-48-7443,6505,Semi-Annually,In-Person Payments,Suspended
PREM3641,CNT-CDP-5298-940,420-93-0043,3932,Annually,Credit or Debit Card,Pending
PREM2180,CNT-CDP-5264-974,312-79-1518,9060,Semi-Annually,Mobile Payment Apps,Overdue
PREM6068,CNT-CDP-8773-043,430-79-6857,6361,Annually,Phone Payments,Renewed
PREM1579,CNT-CDP-0903-216,182-13-3034,1923,Annually,Credit or Debit Card,Cancelled
PREM0652,CNT-CDP-1172-175,479-33-8552,4403,Querterly,Phone Payments,Pending
PREM8014,CNT-CDP-5587-142,410-82-3708,7723,Monthly,Phone Payments,Overdue
PREM7251,CNT-CDP-3633-103,767-53-8839,7620,Annually,In-Person Payments,Overdue
