BAcctNumber,AcctNumber,BillingStreet,BillingAptNo,BillingZip,BillingPhone,BillingMethod,OnlineBillingFlag,CoverageType,LastInvoiceGenDate,LastInvoicePaidDueDate,LastInvoicePaidDate,LastBillCount,NextInvoiceGenDate,CardType,CardNo,CardExpirationDate,BankingAccountType,BankingAccountNumber,PaymentAmount,PaymentDate,AccountEstablishedDate
BILL862872382,ACC390350530,34469 School Way,32,10155,318-448-4996,Per Diem,F,Children's Health Insurance Program (CHIP),6/8/2017,2/25/2021,8/29/2019,39,11/6/2020,jcb,3588763272567444,5/5/2029,Loan Account,vgzueut,919.42,3/27/2018,12/14/2013
BILL336749611,ACC174124466,7 Northwestern Junction,26,79916,792-680-0342,Coinsurance,F,Substance Abuse Treatment Coverage,8/1/2017,3/8/2020,12/12/2023,30,10/8/2017,mastercard,5100133696622007,12/17/2027,Certificate of Deposit (CD),kfgogks,682.5,9/24/2013,12/2/2016
BILL865562063,ACC351856996,82633 Schmedeman Terrace,8,44720,744-662-5600,Third-Party Billing,T,Mental Health Coverage,8/21/2011,7/3/2019,8/30/2016,35,3/23/2015,jcb,3578289176327554,4/26/2027,Loan Account,hphzavv,706.39,11/14/2014,8/29/2013
BILL756708460,ACC796378748,00 Onsgard Drive,46,46278,874-618-3954,Value-Based Reimbursement,T,Substance Abuse Treatment Coverage,4/26/2021,1/25/2022,1/28/2023,7,4/23/2024,visa,4041596438598,11/29/2029,Certificate of Deposit (CD),yqoqlcy,591.64,10/7/2020,11/25/2017
BILL122686353,ACC671364826,28470 Bluejay Crossing,14,34102,562-270-7584,Diagnosis-Related Group (DRG),F,International Health Insurance,5/28/2018,9/20/2020,6/5/2024,5,12/13/2018,jcb,3589737618953459,7/12/2029,Investment Account,wpndzky,956.7,9/8/2018,4/29/2016
BILL666156123,ACC055321541,8085 Daystar Lane,5,98411,736-871-4733,Deductible,F,Dental Insurance,11/6/2015,4/26/2023,12/5/2023,5,6/8/2022,jcb,3582761711324456,11/10/2024,Credit Account,pdptqzn,115.4,10/11/2013,10/28/2015
BILL557495441,ACC963618593,260 Dennis Road,42,60646,912-627-1030,Coinsurance,T,Point of Service (POS),5/4/2020,7/10/2020,1/10/2023,35,10/18/2020,jcb,3577964161750637,3/19/2027,Retirement Account,ezbwvpd,15.51,1/1/2011,4/11/2017
BILL884260760,ACC618348852,9600 Sutteridge Trail,46,80235,175-770-4959,Direct Billing,T,Exclusive Provider Organization (EPO),4/27/2020,3/19/2023,1/17/2022,2,4/24/2021,jcb,3557322862481727,6/7/2024,Checking Account,izqsoca,322.51,1/3/2013,2/23/2013
BILL371243000,ACC716606676,1 Onsgard Terrace,2,77806,905-240-8239,Diagnosis-Related Group (DRG),F,Medicaid,5/5/2020,6/21/2022,11/12/2023,38,9/15/2023,switch,5641827672667637287,3/8/2029,Checking Account,agmbidr,587.85,10/2/2021,5/8/2021
BILL974483654,ACC325601810,55475 Pierstorff Crossing,34,77070,773-578-5143,Bundled Payments,F,Accident Insurance,2/4/2011,7/24/2021,1/6/2022,48,3/31/2012,jcb,3544574510185268,10/7/2029,Loan Account,qehvygq,59.85,8/7/2019,7/28/2011
BILL115344090,ACC256865463,0 Prairieview Court,6,79911,815-905-6751,Out-of-Pocket,T,Indemnity Plan,9/11/2011,2/8/2012,12/22/2016,6,6/2/2014,diners-club-enroute,201649782249248,12/7/2027,Credit Account,pqdqfzs,842.54,4/27/2010,8/5/2020
BILL948357940,ACC520239836,4 Mallory Court,29,29208,802-329-8808,Sliding Scale,F,Health Maintenance Organization (HMO),10/17/2016,11/26/2023,7/30/2018,34,4/27/2021,china-unionpay,5602212771021203755,7/10/2027,Certificate of Deposit (CD),srcpnqm,890.58,9/22/2016,3/24/2016
BILL519799644,ACC720673367,23 Macpherson Crossing,25,94302,195-511-2133,Resource-Based Relative Value Scale (RBRVS),F,International Health Insurance,4/14/2012,10/28/2019,5/5/2014,29,5/24/2019,instapayment,6380018265452820,9/27/2024,Checking Account,jqwqnau,961.55,10/7/2010,7/12/2020
BILL013179640,ACC224117901,86 Corscot Point,4,89125,669-131-8402,Fee-for-Service,T,Preferred Provider Organization (PPO),2/22/2012,3/3/2013,10/15/2022,2,7/10/2016,mastercard,5157690159458957,7/23/2029,Certificate of Deposit (CD),invvxle,529.26,8/5/2012,7/13/2021
BILL255112418,ACC458490016,61132 Graedel Hill,26,92812,404-222-9185,Prospective Payment System,F,International Health Insurance,2/25/2016,7/24/2020,3/3/2024,42,5/26/2022,americanexpress,374283245592738,4/30/2029,Retirement Account,txksutp,64.86,2/21/2011,12/17/2018
BILL369960408,ACC999010258,18 Florence Drive,14,29424,485-324-0935,Per Diem,T,Children's Health Insurance Program (CHIP),3/31/2011,9/29/2022,12/14/2023,21,3/4/2013,maestro,676106774403392897,6/6/2029,Certificate of Deposit (CD),veilcoy,478.51,12/12/2018,7/26/2018
BILL450855336,ACC772990872,8 Sherman Road,5,68117,340-757-8264,Time-Based Billing,T,Critical Illness Insurance,12/27/2020,11/4/2021,8/9/2021,31,10/25/2021,jcb,3537701016342361,10/11/2025,Checking Account,uraiccz,730.9,12/23/2013,6/28/2019
BILL345734809,ACC826680636,6716 Di Loreto Alley,45,63104,929-337-4155,Self-Pay,T,Dental Insurance,9/17/2010,1/24/2013,12/16/2010,31,8/16/2019,jcb,3555429956464477,6/3/2027,Savings Account,dwoubih,415.81,6/13/2013,4/8/2017
BILL161647729,ACC687799342,6 Hansons Place,16,45454,585-357-6482,Direct Billing,F,Medicare,1/3/2020,2/8/2024,7/6/2024,4,3/13/2021,visa-electron,4917496208075048,8/14/2024,Credit Account,hgzkpsh,802.14,12/17/2013,2/23/2013
BILL950397108,ACC531356714,1348 Charing Cross Place,46,95852,557-303-9391,Resource-Based Relative Value Scale (RBRVS),T,Accident Insurance,9/21/2012,3/4/2014,6/1/2017,9,1/23/2014,jcb,3583780980831552,1/16/2025,Loan Account,ddypebg,388.53,12/18/2012,4/11/2020
BILL245967067,ACC476007339,67 Dakota Parkway,27,53705,441-907-8814,Capitation,F,Children's Health Insurance Program (CHIP),12/30/2011,2/23/2024,10/21/2012,2,10/29/2015,laser,6304465019364744290,3/20/2029,Investment Account,stzdgoy,785.5,2/6/2011,12/10/2019
BILL626244883,ACC228477289,30 Fulton Plaza,8,33196,167-214-9010,Sliding Scale,T,Disability Insurance,8/25/2018,1/14/2023,7/26/2020,15,4/9/2020,jcb,3552503032443490,2/8/2025,Checking Account,uenniap,537.26,7/6/2010,2/3/2017
BILL416463299,ACC482118148,5 Myrtle Hill,28,11220,144-754-6672,Capitation,T,Veterans Health Administration (VA),2/19/2018,6/4/2021,7/22/2019,21,8/3/2018,jcb,3566783816419403,12/13/2024,Credit Account,uyrgggx,215.19,2/10/2018,11/9/2016
BILL179268418,ACC031753343,048 Main Way,17,33111,357-151-5152,Deductible,T,Short-Term Health Insurance,9/15/2019,11/17/2023,3/24/2020,35,4/11/2022,bankcard,5610551731467091,1/24/2025,Savings Account,nbsbupq,220.0,11/11/2019,11/21/2017
BILL300450028,ACC743537145,58724 Manley Terrace,32,10024,501-287-8692,Value-Based Reimbursement,T,Dental Insurance,3/8/2014,9/11/2019,2/22/2017,36,5/26/2016,diners-club-us-ca,5579278654545229,1/2/2027,Credit Account,naqmwsq,210.06,6/23/2018,10/27/2019
BILL683702508,ACC421122311,225 Monument Street,45,10110,966-929-2846,Time-Based Billing,T,Health Savings Account (HSA)-eligible plan,1/26/2021,4/6/2021,11/16/2021,14,3/10/2021,laser,6771841435112110144,2/1/2029,Credit Account,wvcwqlb,953.59,12/15/2021,4/12/2020
BILL391048009,ACC775434793,98 Waubesa Terrace,22,96805,134-354-7143,Value-Based Reimbursement,T,Medicaid,3/14/2014,12/24/2015,1/17/2015,9,5/28/2018,jcb,3569719463298176,7/30/2027,Savings Account,vpuryhf,989.27,9/9/2018,3/31/2018
BILL547272505,ACC200262944,61 Sachs Terrace,24,07522,287-308-0139,Resource-Based Relative Value Scale (RBRVS),F,High Deductible Health Plan (HDHP),2/27/2011,12/14/2023,4/30/2019,35,3/30/2024,jcb,3533703704300499,7/12/2028,Investment Account,pbdqssi,464.04,11/23/2010,6/13/2017
BILL827184216,ACC546065162,34092 Hansons Parkway,2,94142,367-376-8974,Capitation,T,Disability Insurance,6/3/2016,2/2/2021,12/26/2022,16,9/27/2022,laser,67710778448237744,6/11/2026,Loan Account,rhxgcxb,328.84,12/4/2010,4/10/2016
BILL747733499,ACC997248981,4396 Summit Alley,39,22205,837-648-4408,Coinsurance,F,Medicare,9/21/2014,6/30/2019,11/4/2015,30,7/8/2019,americanexpress,370322019164789,2/8/2025,Savings Account,fthyagi,204.89,8/1/2020,9/30/2010
BILL647372615,ACC308554844,033 Eggendart Junction,50,90831,722-886-1536,Diagnosis-Related Group (DRG),F,Consumer-Driven Health Plan (CDHP),3/4/2011,7/23/2018,12/15/2020,15,7/1/2014,bankcard,5602218945769106,11/5/2026,Investment Account,ladujso,654.7,12/31/2011,6/28/2016
BILL146234712,ACC499762104,8843 Eagan Hill,24,32969,753-427-5955,Prospective Payment System,F,Point of Service (POS),7/31/2011,12/13/2016,10/6/2013,4,3/2/2015,jcb,3544044979351637,6/13/2024,Certificate of Deposit (CD),fviteqv,444.19,11/9/2014,3/13/2016
BILL606889937,ACC933747541,2 Alpine Street,48,83732,971-895-6775,Shared Savings,F,Critical Illness Insurance,4/2/2018,2/1/2023,11/5/2019,10,12/15/2023,visa-electron,4405406191398785,9/5/2024,Savings Account,jkczear,207.09,5/28/2017,12/8/2019
BILL772117851,ACC512016915,093 Tony Crossing,42,34135,159-295-2527,Per Diem,F,Children's Health Insurance Program (CHIP),10/25/2011,2/16/2014,4/6/2014,46,10/4/2022,china-unionpay,5602213462924311049,4/4/2025,Savings Account,yduodeb,384.59,9/11/2021,2/16/2014
BILL282277406,ACC514360329,1 Clyde Gallagher Circle,3,79916,413-793-0435,Coinsurance,T,Veterans Health Administration (VA),3/20/2010,12/22/2018,2/25/2019,24,7/6/2015,diners-club-enroute,201465418417004,9/19/2027,Investment Account,gvmikxv,349.89,3/28/2014,6/6/2011
BILL221620987,ACC268901521,87461 Oak Valley Park,29,99709,615-925-1302,Deductible,T,Fee-for-Service (FFS),11/21/2010,2/17/2021,6/8/2021,39,1/19/2015,mastercard,5483559105340038,10/2/2025,Retirement Account,vjvqnhv,714.31,1/5/2016,1/26/2011
BILL044474413,ACC901884892,1 Riverside Alley,27,47732,964-939-0223,Coinsurance,F,Preferred Provider Organization (PPO),2/24/2018,12/10/2019,6/1/2018,10,1/25/2023,jcb,3559641504814419,12/29/2025,Savings Account,jibftvg,593.98,1/26/2018,6/21/2011
BILL655490350,ACC837202886,780 Dottie Park,11,44705,369-830-1939,Global Budgeting,T,Supplemental Insurance,2/11/2015,12/16/2018,5/24/2024,47,5/26/2020,mastercard,5214227839754793,11/22/2027,Investment Account,aeiqugv,86.7,7/10/2016,11/28/2021
BILL309603359,ACC195403311,09 Rigney Avenue,19,43605,157-653-4652,Shared Savings,F,Tricare (Military Health Care),4/19/2019,6/20/2023,11/24/2020,48,6/6/2021,jcb,3571560830428690,10/9/2024,Loan Account,rhqqeal,676.84,5/9/2018,7/19/2010
BILL528603171,ACC512108605,5 Grim Park,27,75392,713-487-3349,Coinsurance,F,Maternity Coverage,12/14/2010,6/23/2021,11/24/2022,36,8/7/2011,maestro,67616197448512136,5/30/2026,Loan Account,ufynpwo,747.87,5/13/2012,12/21/2016
BILL399376593,ACC497140591,5 Blaine Court,45,29625,143-377-3087,Capitation,F,Vision Insurance,10/20/2010,7/17/2011,11/16/2010,5,4/11/2020,diners-club-us-ca,5581161892681665,8/5/2026,Investment Account,swanlzl,50.87,1/17/2017,7/27/2020
BILL482890017,ACC215285933,28 Kipling Place,37,32610,366-145-0866,Sliding Scale,F,Health Savings Account (HSA)-eligible plan,1/17/2014,3/26/2023,8/14/2022,6,1/11/2018,jcb,3569466181735556,6/22/2029,Credit Account,eytbtbk,970.7,8/10/2012,5/3/2016
BILL385159673,ACC729458927,5 Bartelt Park,8,44197,163-817-9022,Bundled Payments,T,Critical Illness Insurance,4/12/2016,10/11/2017,4/23/2016,34,6/5/2023,jcb,3589810171104990,5/10/2025,Investment Account,xdakixz,872.76,10/29/2021,6/29/2013
BILL732096855,ACC410948680,4 Forest Crossing,45,20508,100-418-5445,Capitation,F,Critical Illness Insurance,12/10/2016,4/1/2024,1/24/2024,46,3/8/2021,jcb,3568894997385996,6/14/2026,Savings Account,rentgsq,790.76,12/10/2013,12/6/2012
BILL037689635,ACC055348599,5263 Meadow Ridge Circle,1,45223,716-472-5598,Diagnosis-Related Group (DRG),T,Substance Abuse Treatment Coverage,2/21/2014,10/17/2023,10/16/2014,4,8/11/2024,solo,6767472971238506850,8/7/2024,Investment Account,fafvdyg,312.11,8/1/2021,3/23/2015
BILL544572066,ACC224117901,221 Bultman Lane,5,32314,538-316-9329,Prospective Payment System,T,Medicaid,3/13/2017,12/3/2023,5/26/2020,40,10/7/2017,jcb,3543412691049758,2/9/2029,Savings Account,htttsvy,985.47,7/24/2014,7/13/2021
BILL735925948,ACC595429062,4 Northview Trail,35,80310,860-138-3956,Sliding Scale,T,Substance Abuse Treatment Coverage,1/13/2013,11/23/2018,2/18/2018,40,11/18/2019,jcb,3584588490767458,6/30/2028,Savings Account,lgglmix,190.44,9/16/2017,11/26/2016
BILL060817079,ACC798830467,83 Bowman Junction,16,01905,448-571-7604,Prospective Payment System,F,Preferred Provider Organization (PPO),5/2/2021,4/20/2022,4/22/2023,19,9/29/2023,mastercard,5100147571064218,12/27/2026,Loan Account,uarepdx,346.99,11/8/2013,12/18/2018
BILL753706817,ACC701976835,750 Lakewood Junction,20,36616,540-463-5451,Sliding Scale,T,Short-Term Health Insurance,3/21/2020,2/4/2023,8/15/2021,39,5/25/2024,jcb,3544143207388294,8/12/2026,Credit Account,jhjoeqg,653.08,12/22/2013,9/7/2017
BILL395535789,ACC352681403,112 Judy Way,35,37245,236-652-9538,Resource-Based Relative Value Scale (RBRVS),T,Disability Insurance,12/18/2014,5/25/2016,6/9/2015,5,9/11/2020,jcb,3560893104574607,6/13/2024,Loan Account,csusdwl,296.68,2/4/2020,12/25/2017
BILL626399033,ACC752444143,89078 Oakridge Pass,43,75358,291-122-7208,Sliding Scale,T,Vision Insurance,8/30/2012,10/20/2016,11/29/2014,44,10/31/2014,visa,4017951456281721,2/19/2024,Loan Account,vbpltbm,883.5,9/28/2011,8/7/2021
BILL300907456,ACC713097277,49300 Grover Plaza,4,02163,374-597-5442,Out-of-Pocket,F,Disability Insurance,7/13/2013,11/11/2013,1/7/2019,37,3/1/2019,visa-electron,4844969568157885,3/20/2025,Investment Account,tolatif,959.82,12/18/2017,12/29/2014
BILL397455103,ACC662835179,8437 Namekagon Point,43,28242,631-906-6664,Deductible,F,Point of Service (POS),5/12/2021,5/26/2023,3/7/2022,20,12/1/2021,jcb,3568917103314301,12/16/2029,Retirement Account,gwkaeyy,681.53,2/17/2019,2/3/2012
BILL006033264,ACC573636319,02846 Dottie Court,35,02142,316-612-0578,Self-Pay,F,Exclusive Provider Organization (EPO),4/1/2018,3/23/2023,5/12/2019,32,6/11/2019,switch,491180065484345489,2/28/2025,Retirement Account,vwauynt,203.71,5/31/2010,5/15/2015
BILL527286558,ACC191017986,0434 Talmadge Lane,11,63104,681-717-1677,Time-Based Billing,T,Dental Insurance,3/2/2020,6/4/2023,6/8/2023,27,5/17/2021,americanexpress,375718772828152,12/12/2024,Credit Account,gsbifta,320.3,9/25/2013,2/22/2019
BILL023291144,ACC035835463,7 Donald Lane,49,20557,791-936-1524,Prospective Payment System,F,Dental Insurance,8/31/2010,5/6/2019,2/1/2023,31,5/19/2016,jcb,3572508531907180,7/26/2029,Savings Account,xiagcxh,42.94,4/17/2016,6/25/2011
BILL618173947,ACC231816795,44091 Kennedy Alley,38,53405,321-540-4670,Sliding Scale,F,Short-Term Health Insurance,9/28/2012,3/31/2022,10/23/2013,18,1/9/2020,americanexpress,374622717262660,8/2/2024,Retirement Account,nyiqccq,904.5,6/4/2012,3/1/2017
BILL954247477,ACC600278513,5 Carberry Place,50,20057,286-988-2090,Fee-for-Service,T,Mental Health Coverage,3/22/2011,2/16/2015,1/12/2017,14,8/22/2019,mastercard,5498503206658057,11/17/2027,Loan Account,uzmlwnh,309.37,8/31/2014,9/21/2019
BILL640749331,ACC143325099,197 Center Lane,49,93386,357-140-5581,Diagnosis-Related Group (DRG),F,Medicaid,9/13/2020,10/8/2021,5/15/2023,22,10/1/2020,jcb,3546002519545926,3/13/2027,Credit Account,oacznuy,132.46,11/21/2019,2/8/2020
BILL782308057,ACC323440559,98789 Melody Hill,49,61629,969-644-3857,Coinsurance,T,Accident Insurance,1/27/2017,7/22/2017,5/25/2018,46,1/20/2024,jcb,3576315382179356,11/13/2028,Credit Account,oyqmnpv,825.29,5/9/2012,9/6/2020
BILL443942343,ACC809001119,95661 Sloan Court,45,19141,112-434-6942,Shared Savings,T,Point of Service (POS),6/24/2015,7/9/2022,8/20/2015,21,9/26/2021,china-unionpay,5602230476363787,5/20/2028,Retirement Account,rjsdngg,313.75,10/18/2018,4/27/2019
BILL921837255,ACC995059774,9583 Randy Lane,1,36641,130-986-9183,Electronic Billing,F,Exclusive Provider Organization (EPO),6/6/2012,4/27/2023,7/23/2022,17,10/31/2014,diners-club-carte-blanche,30578352478340,3/19/2027,Certificate of Deposit (CD),yjrywqr,938.92,7/9/2012,8/17/2015
BILL486991070,ACC966543241,9450 Scofield Court,18,25313,958-131-2111,Coinsurance,F,International Health Insurance,2/6/2014,6/9/2023,7/6/2021,2,6/5/2020,china-unionpay,56022370092009532,7/22/2024,Savings Account,hvdzkqd,769.48,6/13/2016,6/24/2011
BILL028935910,ACC045730843,68587 Monterey Center,14,98498,928-519-2579,Time-Based Billing,F,Supplemental Insurance,3/8/2012,4/11/2016,6/28/2019,6,7/14/2017,solo,6334839091031817888,7/12/2027,Savings Account,afmzqaw,630.99,5/22/2018,9/16/2018
BILL704472139,ACC513280947,7465 Mesta Hill,28,20205,516-403-6328,Value-Based Reimbursement,T,Flexible Spending Account (FSA)-eligible plan,5/15/2021,6/15/2023,6/24/2021,11,12/20/2022,mastercard,5007664470559175,2/21/2025,Investment Account,xddvhai,859.6,2/12/2015,5/29/2019
BILL358283324,ACC602014510,40601 Pepper Wood Avenue,49,51105,341-514-5391,Deductible,F,Health Savings Account (HSA)-eligible plan,11/22/2012,10/30/2023,11/8/2019,46,9/20/2021,instapayment,6379923825209979,5/26/2027,Loan Account,zkmftoa,963.38,3/21/2019,8/6/2014
BILL798724636,ACC454974168,3849 Becker Alley,29,50310,372-599-0335,Diagnosis-Related Group (DRG),F,Disability Insurance,6/14/2010,1/10/2021,8/24/2015,40,8/19/2023,jcb,3544537544197104,12/21/2028,Checking Account,bzeokjp,399.53,10/15/2010,3/31/2018
BILL199107923,ACC640006423,543 Brown Drive,45,15205,605-861-6159,Coinsurance,F,Substance Abuse Treatment Coverage,12/17/2011,4/8/2015,12/8/2022,24,12/17/2014,visa-electron,4913163244736736,7/22/2027,Checking Account,psiegfu,187.81,10/8/2018,1/6/2021
BILL300198355,ACC035219877,4869 2nd Point,44,97240,226-381-6856,Direct Billing,F,Dental Insurance,11/15/2017,4/11/2023,5/12/2021,39,6/21/2024,mastercard,5331669815483590,6/22/2027,Certificate of Deposit (CD),ffkkszf,428.49,4/22/2012,4/15/2013
BILL686144883,ACC780263772,55262 Sherman Center,17,66225,626-381-2432,Time-Based Billing,F,Health Maintenance Organization (HMO),5/21/2015,6/19/2019,2/13/2016,44,1/6/2024,jcb,3563901957645866,10/24/2029,Certificate of Deposit (CD),tfdnggv,261.28,9/11/2021,11/25/2021
BILL399699673,ACC610455053,7845 Sullivan Way,27,27658,514-537-9846,Fee-for-Service,F,Flexible Spending Account (FSA)-eligible plan,2/28/2014,1/2/2017,3/29/2016,3,9/17/2019,visa-electron,4508891495776339,4/2/2026,Credit Account,iclfgyf,794.1,12/27/2021,6/12/2021
BILL778680553,ACC145452603,59421 Pankratz Alley,46,70179,858-757-6426,Global Budgeting,F,Short-Term Health Insurance,10/22/2017,11/27/2023,4/7/2024,16,1/4/2023,diners-club-carte-blanche,30107996362262,3/4/2028,Loan Account,afzlgez,560.94,1/13/2015,4/16/2017
BILL086336963,ACC277251578,10 Melrose Point,28,63131,497-107-9137,Time-Based Billing,F,High Deductible Health Plan (HDHP),8/16/2015,4/29/2016,8/24/2018,33,11/9/2021,switch,6759540974480163987,3/26/2026,Investment Account,cvrzbow,23.65,2/17/2020,5/7/2021
BILL241353301,ACC202019336,574 Parkside Center,3,33196,150-307-7661,Co-Payment,F,Health Maintenance Organization (HMO),1/16/2016,4/23/2020,12/15/2019,15,9/29/2017,maestro,589365299647684181,1/18/2027,Retirement Account,ahseveu,968.5,9/15/2014,11/5/2010
BILL873510279,ACC772402751,14 Spohn Way,10,44305,506-240-5777,Self-Pay,F,Exclusive Provider Organization (EPO),7/15/2020,2/25/2022,12/15/2021,13,5/23/2023,jcb,3578083554071698,8/19/2029,Retirement Account,eeximby,870.4,3/7/2015,11/23/2020
BILL286643864,ACC815998449,937 Veith Street,3,45271,960-549-7963,Diagnosis-Related Group (DRG),F,Long-Term Care Insurance,8/1/2014,6/2/2016,11/3/2022,23,6/12/2022,jcb,3535052779167245,3/25/2026,Credit Account,dhbjjbv,441.49,9/12/2020,11/21/2012
BILL372859033,ACC224117901,59 Jenifer Park,22,10024,734-777-7973,Capitation,F,Mental Health Coverage,12/30/2017,3/12/2019,5/22/2020,45,12/29/2022,diners-club-carte-blanche,30218290649146,10/24/2028,Credit Account,ttfzlep,648.76,6/11/2011,7/13/2021
BILL956768044,ACC349059507,401 Kim Place,1,85067,887-933-5972,Co-Payment,T,Substance Abuse Treatment Coverage,7/23/2011,12/24/2012,1/10/2012,29,1/5/2016,maestro,6759276630033138,11/7/2025,Credit Account,ctgebps,896.58,9/1/2017,5/18/2012
BILL655630781,ACC247976669,20 Troy Circle,32,94164,469-198-4097,Out-of-Pocket,T,Travel Health Insurance,12/24/2017,1/13/2024,4/30/2018,19,2/20/2024,jcb,3573386122150570,11/28/2026,Credit Account,uvtmvzk,116.82,8/6/2010,7/18/2013
BILL258034678,ACC573194795,5 Pleasure Crossing,46,94110,215-425-3872,Coinsurance,F,Dental Insurance,5/11/2013,3/28/2021,8/10/2013,48,10/23/2017,mastercard,5010120536681797,1/8/2025,Investment Account,bylbryq,361.83,7/20/2020,10/12/2021
BILL516904192,ACC338157180,50 Magdeline Center,28,33432,164-533-1958,Prospective Payment System,T,Supplemental Insurance,5/1/2012,5/13/2015,12/8/2015,9,7/2/2014,jcb,3548644295975039,7/25/2028,Loan Account,ribnhch,17.05,8/20/2018,5/28/2015
BILL548899837,ACC474726600,90 Rigney Trail,19,73152,402-632-8132,Bundled Payments,F,Flexible Spending Account (FSA)-eligible plan,7/30/2013,11/13/2019,9/4/2018,43,11/20/2021,jcb,3562765915309191,7/6/2027,Investment Account,xeifakn,789.64,6/14/2020,9/7/2019
BILL108149913,ACC371492523,874 Graedel Plaza,27,33543,615-392-4051,Deductible,T,Accident Insurance,12/1/2018,1/14/2020,2/13/2023,2,4/14/2022,solo,6334355231490572012,6/11/2029,Credit Account,goxvycm,452.96,5/30/2020,1/3/2012
BILL463144622,ACC231938343,0702 Golf Court,7,44111,697-329-6034,Resource-Based Relative Value Scale (RBRVS),F,Critical Illness Insurance,7/25/2013,9/22/2021,3/30/2021,3,7/2/2019,bankcard,5602211364369938,10/11/2027,Investment Account,tbnzyzt,174.19,5/15/2019,10/21/2017
BILL638873460,ACC425208152,4 Heath Park,36,45271,443-111-6378,Direct Billing,F,Substance Abuse Treatment Coverage,4/28/2017,8/15/2021,7/4/2024,8,1/9/2022,visa-electron,4405188992428967,5/22/2028,Savings Account,mgxkktd,528.45,2/14/2012,1/4/2020
BILL275706003,ACC824134961,23639 Mockingbird Point,41,20470,713-251-9755,Deductible,F,Dental Insurance,12/26/2018,2/4/2021,9/5/2020,19,10/7/2019,visa,4041599756349738,1/12/2029,Certificate of Deposit (CD),rbpbfws,552.15,3/25/2015,10/22/2013
BILL207699740,ACC276489861,4 Bobwhite Crossing,40,89150,288-728-9203,Value-Based Reimbursement,T,Catastrophic Health Insurance,3/13/2018,8/19/2018,1/12/2022,29,10/13/2021,jcb,3537566504112026,6/24/2026,Savings Account,gnnwxgm,232.95,3/13/2013,4/11/2016
BILL989562209,ACC528254629,31 6th Park,33,84093,919-718-0086,Self-Pay,F,Exclusive Provider Organization (EPO),4/3/2016,9/10/2022,5/17/2018,2,5/17/2020,jcb,3528077559617985,11/5/2027,Investment Account,hvmwjpr,750.24,11/25/2012,4/28/2016
BILL757407417,ACC543198569,3871 Commercial Street,43,92176,392-400-3153,Electronic Billing,F,Maternity Coverage,12/15/2010,7/23/2016,2/26/2023,48,11/8/2018,maestro,50207646666768664,3/27/2026,Retirement Account,uyxdftc,890.23,6/14/2014,2/11/2019
BILL498007265,ACC313015186,38 Clarendon Center,21,98687,331-925-6805,Capitation,T,Fee-for-Service (FFS),2/27/2017,2/5/2018,12/23/2022,23,6/8/2021,china-unionpay,560224500423623893,7/3/2028,Certificate of Deposit (CD),pytsxdj,222.97,7/24/2015,3/9/2010
BILL786644245,ACC590487042,6 Coolidge Pass,47,30911,566-407-8681,Resource-Based Relative Value Scale (RBRVS),F,Indemnity Plan,6/21/2015,4/11/2018,10/14/2017,38,8/8/2019,jcb,3541585394726921,1/5/2026,Loan Account,dulhulh,786.55,7/15/2021,6/6/2021
BILL005071364,ACC706733717,50 Kinsman Street,12,45505,589-889-9398,Bundled Payments,T,Medicare,2/13/2019,7/26/2022,11/27/2022,41,5/22/2022,maestro,5893879896607187,3/22/2026,Checking Account,phxobfb,487.2,2/20/2012,3/7/2013
BILL118928548,ACC166857565,516 Towne Trail,3,10125,279-820-3332,Fee-for-Service,T,Children's Health Insurance Program (CHIP),8/24/2012,5/8/2021,4/5/2014,34,2/17/2015,jcb,3582813037769458,9/19/2028,Loan Account,vraixza,457.11,5/15/2016,9/8/2014
BILL773397650,ACC335859072,0670 Mesta Road,16,88535,288-887-3186,Sliding Scale,F,Substance Abuse Treatment Coverage,6/27/2019,12/23/2020,12/25/2022,41,9/13/2022,jcb,3588575915150879,11/18/2027,Investment Account,xyhxxbk,106.74,5/29/2011,8/23/2012
BILL064948671,ACC175707682,13 Old Gate Place,13,78465,281-957-4661,Value-Based Reimbursement,T,Fee-for-Service (FFS),3/18/2012,8/4/2023,3/31/2022,47,1/24/2017,jcb,3559079979015370,9/11/2025,Certificate of Deposit (CD),hgvyznb,373.71,9/29/2016,11/10/2010
BILL318380006,ACC963618593,40 Autumn Leaf Park,45,91797,877-861-9847,Per Diem,F,Catastrophic Health Insurance,9/5/2013,12/16/2015,12/20/2020,33,8/17/2015,visa-electron,4026606022153866,11/16/2024,Loan Account,fjnrfav,276.64,11/29/2014,4/11/2017
BILL101771315,ACC415146577,71 Gina Trail,39,73147,368-529-8606,Bundled Payments,T,Travel Health Insurance,3/26/2012,1/22/2015,6/17/2013,37,12/13/2015,jcb,3567406397591122,5/17/2029,Loan Account,njjziqs,788.72,2/24/2015,7/23/2015
BILL698656528,ACC201701583,9230 Evergreen Way,8,07112,978-976-7595,Out-of-Pocket,T,Dental Insurance,12/1/2019,5/22/2022,11/23/2021,25,5/1/2023,jcb,3540214479528190,10/5/2029,Credit Account,kultemq,414.3,6/28/2020,1/19/2019
