InvoiceNumber,InvoiceDate,NoOutstandingInvoices,DueDate,PaidDate,InvoiceStatus,BillingPeriod,BAcctNumber,CustomerSSN,ContractNumber
INVC-89330,2/9/2020,3,9/30/2022,,Unpaid,Daily,BILL504873104,708-86-3495,CNT-CDP-3408-470
INVC-34796,2/11/2021,2,9/23/2022,,Unpaid,Annually,BILL025521349,276-40-7872,CNT-CDP-1087-196
INVC-36038,12/16/2019,4,1/27/2022,,Unpaid,Monthly,BILL505684058,652-03-3892,CNT-CDP-1533-827
INVC-12846,1/2/2019,5,1/1/2022,10/11/2019,Paid,Daily,BILL199568810,196-54-1574,CNT-CDP-3633-103
INVC-03015,5/22/2021,3,9/19/2022,,Unpaid,Bi-Weekly,BILL453500203,715-21-2599,CNT-CDP-6380-002
INVC-61263,3/2/2019,4,8/13/2022,11/13/2021,Paid,Semi-Annually,BILL334257889,577-06-7349,CNT-CDP-7568-735
INVC-97911,9/1/2021,5,2/13/2022,11/15/2021,Paid,Bi-Weekly,BILL538243582,669-21-2016,CNT-CDP-9959-328
INVC-37698,8/4/2021,1,6/7/2022,,Unpaid,Monthly,BILL726591634,544-24-0933,CNT-CDP-3925-618
INVC-92214,8/3/2021,1,11/24/2022,9/21/2021,Paid,Daily,BILL895094878,722-71-1318,CNT-CDP-1451-468
INVC-75424,3/5/2019,5,12/31/2022,8/1/2020,Paid,Monthly,BILL307263987,128-62-7754,CNT-CDP-5492-471
INVC-30749,9/26/2020,4,3/28/2022,1/4/2021,Paid,Quarterly,BILL065866907,728-14-0129,CNT-CDP-6274-187
INVC-89871,2/19/2020,5,11/26/2022,,Unpaid,Bi-Weekly,BILL559063023,246-90-2950,CNT-CDP-8572-047
INVC-45349,4/19/2021,2,5/13/2022,7/7/2021,Paid,Monthly,BILL526451975,583-97-0250,CNT-CDP-2082-812
INVC-87684,4/12/2020,1,6/29/2022,4/27/2021,Paid,Bi-Weekly,BILL769551711,523-82-8204,CNT-CDP-5301-473
INVC-50081,5/30/2019,4,5/2/2022,5/7/2020,Paid,Daily,BILL822440360,828-78-2030,CNT-CDP-7486-471
INVC-54691,7/10/2020,1,8/8/2022,6/28/2021,Paid,Daily,BILL189395126,404-02-1511,CNT-CDP-4697-553
INVC-11895,5/10/2020,1,8/10/2022,5/6/2021,Paid,Bi-Weekly,BILL623013842,210-89-3094,CNT-CDP-1024-207
INVC-77252,4/15/2021,4,7/11/2022,8/25/2021,Paid,Bi-Weekly,BILL671142687,245-88-6897,CNT-CDP-4596-518
INVC-56962,9/21/2019,1,11/12/2022,,Unpaid,Bi-Weekly,BILL165541686,364-25-4233,CNT-CDP-6266-128
INVC-03756,3/25/2021,1,6/23/2022,7/19/2021,Paid,Monthly,BILL086254917,183-45-4464,CNT-CDP-8553-322
INVC-94669,10/28/2021,1,5/9/2022,,Unpaid,Annually,BILL253904393,497-69-4479,CNT-CDP-6674-730
INVC-14400,10/31/2021,4,8/18/2022,12/22/2021,Paid,Monthly,BILL473076743,894-74-3017,CNT-CDP-6171-071
INVC-79274,8/4/2021,1,8/15/2022,,Unpaid,Bi-Weekly,BILL876594255,823-65-3803,CNT-CDP-2512-198
INVC-23533,6/6/2019,3,10/22/2022,11/11/2020,Paid,Daily,BILL053781936,540-22-7915,CNT-CDP-7422-970
INVC-74217,1/8/2019,3,7/3/2022,5/31/2020,Paid,Quarterly,BILL211957665,364-72-1852,CNT-CDP-2242-539
INVC-57309,11/19/2019,5,8/24/2022,9/27/2021,Paid,Bi-Weekly,BILL954633146,126-24-4950,CNT-CDP-5503-541
INVC-16362,12/21/2019,4,6/13/2022,8/5/2021,Paid,Daily,BILL505441985,618-55-6387,CNT-CDP-1388-251
INVC-19552,9/5/2020,1,12/17/2022,4/21/2021,Paid,Bi-Weekly,BILL838745244,707-40-1856,CNT-CDP-1688-834
INVC-62867,6/25/2019,1,5/2/2022,,Unpaid,Weekly,BILL468457621,418-89-3022,CNT-CDP-6784-030
INVC-72140,2/8/2021,2,9/23/2022,3/17/2021,Paid,Daily,BILL036839684,659-84-4620,CNT-CDP-1336-550
INVC-20550,4/3/2020,3,10/17/2022,10/16/2021,Paid,Daily,BILL979929762,582-36-2711,CNT-CDP-5550-244
INVC-40130,10/1/2021,2,1/12/2022,10/18/2021,Paid,Monthly,BILL276975672,522-10-6832,CNT-CDP-2494-890
INVC-86239,2/2/2019,3,7/5/2022,,Unpaid,Semi-Annually,BILL927861239,236-25-2001,CNT-CDP-0616-505
INVC-36885,12/4/2021,1,6/28/2022,12/13/2021,Paid,Quarterly,BILL616171857,249-61-0560,CNT-CDP-8578-432
INVC-07941,8/24/2021,5,12/13/2022,12/3/2021,Paid,Quarterly,BILL404272196,518-58-6058,CNT-CDP-4901-899
INVC-32763,3/1/2019,5,9/17/2022,,Unpaid,Weekly,BILL639773517,893-99-9702,CNT-CDP-9700-206
INVC-61487,3/28/2019,5,4/26/2022,3/11/2020,Paid,Annually,BILL259027417,499-72-2020,CNT-CDP-7858-277
INVC-65120,5/6/2021,1,9/21/2022,,Unpaid,Annually,BILL693024461,358-44-0561,CNT-CDP-4118-325
INVC-85405,12/3/2021,4,9/30/2022,12/22/2021,Paid,Monthly,BILL862872382,639-24-8395,CNT-CDP-6834-795
INVC-03001,4/8/2019,1,2/2/2022,5/29/2019,Paid,Semi-Annually,BILL336749611,489-30-7648,CNT-CDP-9868-292
INVC-43823,8/27/2021,1,8/23/2022,12/23/2021,Paid,Annually,BILL865562063,111-56-1286,CNT-CDP-6141-785
INVC-26579,2/22/2019,2,9/9/2022,5/6/2020,Paid,Annually,BILL756708460,299-61-2000,CNT-CDP-9475-768
INVC-69967,5/9/2021,5,10/2/2022,8/12/2021,Paid,Quarterly,BILL122686353,118-89-3671,CNT-CDP-2907-573
INVC-31969,7/29/2020,5,9/17/2022,9/2/2020,Paid,Quarterly,BILL666156123,728-88-9032,CNT-CDP-4832-606
INVC-73814,1/26/2019,1,1/30/2022,7/18/2019,Paid,Quarterly,BILL557495441,239-74-6858,CNT-CDP-8555-060
INVC-44292,5/27/2019,4,12/8/2022,1/10/2021,Paid,Weekly,BILL884260760,765-98-1140,CNT-CDP-9492-940
INVC-03786,7/27/2019,4,3/6/2022,8/23/2019,Paid,Bi-Weekly,BILL371243000,675-38-5467,CNT-CDP-2265-515
INVC-79939,3/2/2019,3,5/3/2022,6/29/2020,Paid,Daily,BILL974483654,287-91-0644,CNT-CDP-4653-779
INVC-67025,1/27/2019,1,9/10/2022,12/25/2019,Paid,Bi-Weekly,BILL115344090,529-86-3176,CNT-CDP-7027-736
INVC-52553,9/5/2021,3,8/16/2022,11/7/2021,Paid,Annually,BILL948357940,216-37-2957,CNT-CDP-0045-043
INVC-09368,5/16/2020,4,2/12/2022,,Unpaid,Bi-Weekly,BILL519799644,478-48-7443,CNT-CDP-5160-561
INVC-18230,1/28/2019,2,6/8/2022,12/27/2019,Paid,Semi-Annually,BILL013179640,823-10-6623,CNT-CDP-3402-858
INVC-84967,12/6/2019,3,10/31/2022,9/14/2020,Paid,Quarterly,BILL255112418,643-53-4676,CNT-CDP-0196-684
INVC-33344,11/3/2020,1,1/28/2022,,Unpaid,Monthly,BILL369960408,489-53-3937,CNT-CDP-8620-279
INVC-50314,2/14/2021,2,1/19/2022,9/3/2021,Paid,Daily,BILL450855336,200-03-6558,CNT-CDP-8556-256
INVC-54082,9/13/2019,2,2/6/2022,5/9/2021,Paid,Quarterly,BILL345734809,700-90-8678,CNT-CDP-5859-546
INVC-43754,3/2/2021,2,9/29/2022,5/14/2021,Paid,Quarterly,BILL161647729,572-54-4752,CNT-CDP-7006-280
INVC-67764,2/10/2020,4,2/4/2022,2/20/2021,Paid,Semi-Annually,BILL950397108,532-85-3774,CNT-CDP-6859-791
INVC-72136,3/25/2019,5,1/1/2022,10/14/2020,Paid,Weekly,BILL245967067,394-39-8605,CNT-CDP-8393-974
INVC-36445,2/11/2019,3,3/22/2022,6/18/2019,Paid,Bi-Weekly,BILL626244883,757-73-4552,CNT-CDP-6055-372
INVC-09639,7/2/2021,5,10/5/2022,12/7/2021,Paid,Bi-Weekly,BILL416463299,210-55-3341,CNT-CDP-9670-435
INVC-58811,7/19/2019,2,7/29/2022,,Unpaid,Quarterly,BILL179268418,759-86-2057,CNT-CDP-6055-378
INVC-33999,6/22/2019,5,8/10/2022,,Unpaid,Daily,BILL300450028,381-63-5242,CNT-CDP-9687-844
INVC-17060,3/23/2020,3,9/1/2022,7/1/2020,Paid,Bi-Weekly,BILL683702508,713-35-1652,CNT-CDP-7461-885
INVC-77734,9/4/2021,3,10/1/2022,,Unpaid,Daily,BILL391048009,761-99-8936,CNT-CDP-8383-950
INVC-76371,2/9/2021,3,6/8/2022,10/1/2021,Paid,Annually,BILL547272505,808-70-3145,CNT-CDP-1302-592
INVC-65782,8/14/2021,5,12/6/2022,8/27/2021,Paid,Monthly,BILL827184216,688-16-5212,CNT-CDP-9768-397
INVC-33813,9/14/2020,5,5/5/2022,,Unpaid,Daily,BILL747733499,209-96-9359,CNT-CDP-4219-166
INVC-98453,8/25/2019,4,8/21/2022,1/22/2021,Paid,Quarterly,BILL647372615,122-55-4301,CNT-CDP-3385-096
INVC-71260,3/3/2021,1,4/21/2022,,Unpaid,Monthly,BILL146234712,880-34-9229,CNT-CDP-3936-853
INVC-07790,6/25/2021,3,7/10/2022,11/9/2021,Paid,Monthly,BILL606889937,891-27-9474,CNT-CDP-5037-837
INVC-69260,7/8/2019,2,6/22/2022,12/5/2019,Paid,Quarterly,BILL772117851,517-96-6739,CNT-CDP-0138-654
INVC-65752,1/17/2020,3,5/8/2022,5/4/2021,Paid,Bi-Weekly,BILL282277406,382-44-9399,CNT-CDP-6722-563
INVC-86475,6/19/2021,1,3/23/2022,11/12/2021,Paid,Weekly,BILL221620987,839-58-2834,CNT-CDP-6342-332
INVC-49225,10/15/2021,2,8/25/2022,,Unpaid,Bi-Weekly,BILL044474413,176-29-9474,CNT-CDP-2683-741
INVC-17101,3/13/2021,3,5/2/2022,,Unpaid,Semi-Annually,BILL655490350,184-63-4040,CNT-CDP-0489-321
INVC-09422,8/4/2020,3,8/10/2022,3/30/2021,Paid,Annually,BILL309603359,531-23-0072,CNT-CDP-6784-383
INVC-04270,8/6/2019,2,9/18/2022,7/7/2020,Paid,Semi-Annually,BILL528603171,774-26-8823,CNT-CDP-6911-649
INVC-38111,4/14/2021,1,7/23/2022,11/1/2021,Paid,Annually,BILL399376593,763-53-6518,CNT-CDP-9142-487
INVC-56879,8/15/2021,5,3/10/2022,,Unpaid,Annually,BILL482890017,691-77-5024,CNT-CDP-9783-931
INVC-16720,8/1/2020,2,3/3/2022,6/21/2021,Paid,Daily,BILL385159673,879-95-0564,CNT-CDP-7206-838
INVC-64188,1/16/2019,3,8/30/2022,12/6/2019,Paid,Monthly,BILL732096855,564-94-0410,CNT-CDP-1691-964
INVC-47831,6/2/2019,5,1/5/2022,12/6/2019,Paid,Semi-Annually,BILL037689635,793-39-8139,CNT-CDP-6491-686
INVC-34886,10/29/2019,1,10/2/2022,11/18/2020,Paid,Annually,BILL544572066,894-52-6177,CNT-CDP-4981-274
INVC-88017,1/23/2019,3,5/3/2022,6/21/2020,Paid,Quarterly,BILL735925948,218-06-0719,CNT-CDP-7386-126
INVC-13089,11/12/2019,5,9/20/2022,,Unpaid,Daily,BILL060817079,107-43-5220,CNT-CDP-8309-891
INVC-13424,9/3/2020,2,3/28/2022,4/2/2021,Paid,Annually,BILL753706817,347-70-3337,CNT-CDP-1299-479
INVC-46048,7/12/2019,3,2/27/2022,6/10/2020,Paid,Daily,BILL395535789,663-87-5520,CNT-CDP-0745-264
INVC-30269,11/9/2019,4,12/30/2022,,Unpaid,Daily,BILL626399033,204-89-0224,CNT-CDP-5910-468
INVC-78226,3/10/2020,4,12/28/2022,1/16/2021,Paid,Bi-Weekly,BILL300907456,558-37-9929,CNT-CDP-3182-970
INVC-33891,6/28/2021,4,12/17/2022,9/30/2021,Paid,Monthly,BILL397455103,136-67-3745,CNT-CDP-4580-978
INVC-78740,10/3/2019,1,1/20/2022,2/19/2020,Paid,Monthly,BILL006033264,546-41-7510,CNT-CDP-5608-302
INVC-12824,12/13/2020,4,2/12/2022,5/27/2021,Paid,Semi-Annually,BILL527286558,610-58-6143,CNT-CDP-8194-783
INVC-87312,3/17/2019,4,6/2/2022,5/26/2019,Paid,Annually,BILL023291144,338-59-2665,CNT-CDP-6217-509
INVC-22355,5/12/2019,4,10/23/2022,11/18/2020,Paid,Semi-Annually,BILL618173947,457-60-9652,CNT-CDP-4228-131
INVC-93135,9/18/2020,3,2/28/2022,,Unpaid,Semi-Annually,BILL954247477,639-59-5909,CNT-CDP-8370-550
INVC-19399,10/1/2021,3,10/29/2022,12/13/2021,Paid,Monthly,BILL640749331,423-50-6409,CNT-CDP-7873-565
INVC-88611,11/8/2019,3,2/9/2022,6/16/2021,Paid,Daily,BILL782308057,739-86-6514,CNT-CDP-6366-750
INVC-99302,6/8/2021,5,8/20/2022,,Unpaid,Monthly,BILL443942343,498-96-5310,CNT-CDP-1241-826
INVC-23507,2/17/2019,3,8/12/2022,12/5/2020,Paid,Annually,BILL921837255,718-24-9799,CNT-CDP-4542-423
INVC-37705,9/17/2019,1,11/3/2022,,Unpaid,Bi-Weekly,BILL486991070,294-47-6704,CNT-CDP-8865-006
INVC-67820,12/15/2020,4,7/23/2022,7/5/2021,Paid,Daily,BILL028935910,350-82-8206,CNT-CDP-1908-264
INVC-04584,6/24/2020,4,7/11/2022,10/13/2021,Paid,Quarterly,BILL704472139,628-62-2747,CNT-CDP-0466-712
INVC-67832,8/31/2020,5,10/26/2022,10/4/2020,Paid,Annually,BILL358283324,320-47-9640,CNT-CDP-4921-307
INVC-04319,11/30/2020,2,9/12/2022,1/3/2021,Paid,Annually,BILL798724636,622-30-1101,CNT-CDP-0534-467
INVC-31651,11/12/2021,3,4/22/2022,,Unpaid,Semi-Annually,BILL199107923,739-24-3156,CNT-CDP-3473-243
INVC-40911,3/22/2020,2,8/6/2022,5/10/2021,Paid,Monthly,BILL300198355,527-99-2794,CNT-CDP-0658-463
INVC-85873,9/4/2020,4,6/13/2022,11/4/2020,Paid,Bi-Weekly,BILL686144883,496-14-7512,CNT-CDP-0936-342
INVC-21284,8/16/2020,3,11/29/2022,5/10/2021,Paid,Semi-Annually,BILL399699673,411-70-2321,CNT-CDP-4659-484
INVC-05681,12/6/2020,4,12/22/2022,3/30/2021,Paid,Monthly,BILL778680553,111-48-5399,CNT-CDP-0683-875
INVC-41378,4/2/2021,5,8/26/2022,,Unpaid,Semi-Annually,BILL086336963,897-52-4675,CNT-CDP-8640-183
INVC-60434,10/12/2020,4,6/6/2022,10/1/2021,Paid,Monthly,BILL241353301,200-58-1564,CNT-CDP-6391-152
INVC-37604,3/30/2021,3,8/7/2022,4/2/2021,Paid,Quarterly,BILL873510279,306-27-1825,CNT-CDP-1744-820
INVC-86452,10/23/2021,5,12/17/2022,11/3/2021,Paid,Monthly,BILL286643864,309-54-2863,CNT-CDP-4421-061
INVC-14246,11/9/2020,5,2/19/2022,2/17/2021,Paid,Semi-Annually,BILL372859033,152-22-1318,CNT-CDP-8758-934
INVC-18491,12/4/2020,4,11/10/2022,5/7/2021,Paid,Quarterly,BILL956768044,818-19-8936,CNT-CDP-0320-788
INVC-49499,4/16/2021,2,12/31/2022,7/24/2021,Paid,Bi-Weekly,BILL655630781,754-98-7758,CNT-CDP-7756-274
INVC-13475,4/5/2020,5,2/19/2022,,Unpaid,Quarterly,BILL258034678,591-31-9549,CNT-CDP-7401-540
INVC-53273,12/21/2021,4,12/21/2022,12/22/2021,Paid,Annually,BILL516904192,622-11-1615,CNT-CDP-3251-625
INVC-77675,12/12/2021,2,10/10/2022,,Unpaid,Monthly,BILL548899837,359-32-2507,CNT-CDP-4833-012
INVC-14996,11/4/2019,4,1/11/2022,7/8/2021,Paid,Monthly,BILL108149913,701-70-7269,CNT-CDP-6515-388
INVC-97689,4/17/2019,5,11/20/2022,7/27/2019,Paid,Weekly,BILL463144622,329-77-4299,CNT-CDP-0764-907
INVC-97150,5/12/2021,1,12/17/2022,6/7/2021,Paid,Bi-Weekly,BILL638873460,418-14-3526,CNT-CDP-4691-864
INVC-86056,9/5/2020,3,7/29/2022,9/9/2021,Paid,Quarterly,BILL275706003,323-31-8610,CNT-CDP-7269-106
INVC-17403,2/23/2019,2,4/25/2022,7/24/2021,Paid,Daily,BILL207699740,458-86-6572,CNT-CDP-5184-234
INVC-63815,12/2/2021,1,8/25/2022,,Unpaid,Semi-Annually,BILL989562209,364-16-6383,CNT-CDP-2089-762
INVC-82351,12/31/2020,2,3/27/2022,6/21/2021,Paid,Weekly,BILL757407417,730-87-9665,CNT-CDP-5436-308
INVC-55102,10/3/2021,5,5/24/2022,,Unpaid,Weekly,BILL498007265,129-65-4400,CNT-CDP-0212-945
INVC-57164,11/19/2021,3,3/7/2022,12/1/2021,Paid,Monthly,BILL786644245,471-25-7860,CNT-CDP-3707-775
INVC-53624,8/7/2019,4,11/2/2022,12/12/2021,Paid,Daily,BILL005071364,111-55-7156,CNT-CDP-5973-320
INVC-19980,3/14/2021,2,11/16/2022,6/10/2021,Paid,Quarterly,BILL118928548,347-30-3861,CNT-CDP-8843-234
INVC-88915,10/26/2021,4,4/6/2022,,Unpaid,Bi-Weekly,BILL773397650,117-05-3734,CNT-CDP-6174-353
INVC-75289,9/29/2020,2,8/19/2022,,Unpaid,Annually,BILL064948671,160-36-8380,CNT-CDP-0227-977
INVC-86208,2/22/2021,4,3/9/2022,,Unpaid,Bi-Weekly,BILL318380006,268-49-2117,CNT-CDP-6916-808
INVC-10510,3/31/2020,2,8/5/2022,,Unpaid,Weekly,BILL101771315,218-76-2737,CNT-CDP-9470-533
INVC-92724,7/19/2021,2,1/10/2022,10/15/2021,Paid,Weekly,BILL698656528,618-40-5613,CNT-CDP-5884-498
INVC-65215,3/27/2019,1,10/2/2022,6/29/2019,Paid,Quarterly,BILL304055243,409-48-5094,CNT-CDP-6944-916
INVC-63450,11/20/2020,5,1/11/2022,,Unpaid,Semi-Annually,BILL292311965,402-80-4525,CNT-CDP-0958-779
INVC-60926,10/18/2019,2,3/29/2022,,Unpaid,Monthly,BILL978319784,469-47-1784,CNT-CDP-0939-082
INVC-79876,12/24/2020,2,11/26/2022,1/3/2021,Paid,Semi-Annually,BILL548023066,831-61-9528,CNT-CDP-0364-861
INVC-57978,10/2/2021,4,12/13/2022,11/8/2021,Paid,Quarterly,BILL893036699,348-24-6506,CNT-CDP-2255-039
INVC-87095,6/21/2019,3,10/12/2022,10/10/2020,Paid,Quarterly,BILL716772951,144-57-2660,CNT-CDP-4472-033
INVC-23299,5/20/2021,2,2/2/2022,12/20/2021,Paid,Quarterly,BILL311594421,531-95-5982,CNT-CDP-1132-893
INVC-01661,8/12/2019,1,8/9/2022,2/17/2020,Paid,Weekly,BILL090253812,233-66-6121,CNT-CDP-4908-047
INVC-82965,8/31/2021,5,5/28/2022,12/18/2021,Paid,Semi-Annually,BILL092217819,590-14-9022,CNT-CDP-8562-124
INVC-22678,12/29/2021,5,3/4/2022,,Unpaid,Annually,BILL380253012,544-08-8528,CNT-CDP-1023-535
INVC-72181,3/22/2019,1,6/1/2022,2/1/2021,Paid,Weekly,BILL187698342,527-90-6987,CNT-CDP-7589-366
INVC-30630,10/12/2021,1,2/25/2022,12/16/2021,Paid,Semi-Annually,BILL914482501,120-96-4953,CNT-CDP-7641-256
INVC-84892,9/2/2020,1,7/25/2022,,Unpaid,Semi-Annually,BILL996884645,146-24-4332,CNT-CDP-5327-190
INVC-12606,3/7/2021,5,7/21/2022,7/11/2021,Paid,Weekly,BILL239595987,492-69-2793,CNT-CDP-1547-355
INVC-94939,8/21/2021,5,2/3/2022,11/28/2021,Paid,Monthly,BILL784254482,755-42-1537,CNT-CDP-7174-379
INVC-32808,3/4/2020,3,6/1/2022,,Unpaid,Quarterly,BILL198412212,405-95-7014,CNT-CDP-8690-290
INVC-93713,12/12/2021,4,10/31/2022,,Unpaid,Semi-Annually,BILL086475502,472-83-8236,CNT-CDP-7343-257
INVC-92205,5/28/2021,5,5/30/2022,,Unpaid,Weekly,BILL707975201,899-27-0997,CNT-CDP-9732-097
INVC-94495,9/29/2019,3,9/9/2022,11/15/2020,Paid,Bi-Weekly,BILL511814513,281-81-1398,CNT-CDP-8267-434
INVC-45904,5/26/2019,3,5/20/2022,10/9/2019,Paid,Monthly,BILL660834713,108-98-3421,CNT-CDP-5210-397
INVC-78102,10/5/2019,1,9/24/2022,10/20/2020,Paid,Semi-Annually,BILL022748233,675-06-9696,CNT-CDP-7404-978
INVC-26377,11/16/2021,5,2/3/2022,12/6/2021,Paid,Semi-Annually,BILL144271272,578-15-9306,CNT-CDP-7212-177
INVC-16717,7/1/2020,3,6/20/2022,10/8/2021,Paid,Daily,BILL127093579,674-16-7205,CNT-CDP-5220-589
INVC-98247,3/12/2019,4,9/14/2022,9/21/2019,Paid,Semi-Annually,BILL862115273,882-39-2517,CNT-CDP-2832-547
INVC-55122,8/16/2019,1,7/31/2022,,Unpaid,Weekly,BILL406532368,271-25-6631,CNT-CDP-3407-678
INVC-68600,12/11/2019,1,8/2/2022,,Unpaid,Weekly,BILL320045262,339-55-1734,CNT-CDP-7928-952
INVC-69747,1/12/2021,4,10/8/2022,12/24/2021,Paid,Bi-Weekly,BILL572173960,815-54-1401,CNT-CDP-6475-694
INVC-11746,1/28/2021,4,7/31/2022,2/10/2021,Paid,Weekly,BILL676938424,559-35-0106,CNT-CDP-6240-985
INVC-12112,9/20/2019,2,3/24/2022,10/21/2020,Paid,Daily,BILL938125948,718-09-6017,CNT-CDP-6752-094
INVC-58356,7/13/2019,2,10/8/2022,2/27/2021,Paid,Monthly,BILL698595404,143-46-2783,CNT-CDP-3502-551
INVC-79127,7/7/2019,3,9/19/2022,,Unpaid,Daily,BILL637342152,125-09-8565,CNT-CDP-1564-232
INVC-34573,7/20/2021,3,7/16/2022,11/27/2021,Paid,Monthly,BILL231389311,757-12-1999,CNT-CDP-4967-777
INVC-99856,1/27/2019,5,6/2/2022,,Unpaid,Annually,BILL630575084,502-99-6386,CNT-CDP-1652-944
INVC-18547,8/30/2021,5,1/7/2022,11/29/2021,Paid,Bi-Weekly,BILL998363798,531-33-4224,CNT-CDP-4392-631
INVC-05919,3/7/2021,4,11/11/2022,5/6/2021,Paid,Semi-Annually,BILL713796775,469-65-9333,CNT-CDP-3475-220
INVC-91568,10/5/2021,2,6/10/2022,,Unpaid,Annually,BILL401404752,797-77-9625,CNT-CDP-0903-673
INVC-73746,5/9/2020,2,2/21/2022,,Unpaid,Quarterly,BILL443793749,194-66-7196,CNT-CDP-5075-745
INVC-92593,2/5/2020,1,12/17/2022,1/10/2021,Paid,Weekly,BILL502585943,410-38-8800,CNT-CDP-2560-510
INVC-73186,5/17/2019,2,2/22/2022,11/12/2021,Paid,Quarterly,BILL436969824,684-74-3063,CNT-CDP-0098-302
INVC-87473,5/29/2020,3,5/6/2022,11/5/2021,Paid,Semi-Annually,BILL481053721,533-14-4484,CNT-CDP-3494-580
INVC-13460,6/8/2019,1,11/24/2022,,Unpaid,Bi-Weekly,BILL809339049,576-62-9974,CNT-CDP-1120-060
INVC-45092,12/10/2019,3,12/13/2022,,Unpaid,Monthly,BILL440063986,881-05-3396,CNT-CDP-2292-369
INVC-95551,5/24/2020,4,1/14/2022,1/31/2021,Paid,Weekly,BILL299782596,154-64-7050,CNT-CDP-1598-945
INVC-91874,2/1/2020,2,12/19/2022,,Unpaid,Monthly,BILL336820021,173-51-2644,CNT-CDP-7717-377
INVC-01819,10/9/2020,1,5/20/2022,,Unpaid,Monthly,BILL035596046,400-21-1001,CNT-CDP-6256-322
INVC-66170,9/21/2019,5,4/14/2022,9/15/2021,Paid,Weekly,BILL909301810,572-26-6323,CNT-CDP-6703-939
INVC-14162,7/15/2019,5,8/31/2022,5/1/2020,Paid,Daily,BILL658280311,817-05-6507,CNT-CDP-2250-134
INVC-98273,7/1/2019,2,10/28/2022,,Unpaid,Quarterly,BILL903652503,860-28-1868,CNT-CDP-8449-566
INVC-87792,12/6/2020,3,12/25/2022,,Unpaid,Quarterly,BILL448244128,309-34-1587,CNT-CDP-7307-339
INVC-49247,8/27/2021,1,2/17/2022,9/26/2021,Paid,Bi-Weekly,BILL219850991,691-85-1701,CNT-CDP-2461-700
INVC-99594,3/26/2019,2,1/1/2022,3/9/2021,Paid,Monthly,BILL127753327,373-10-7441,CNT-CDP-3570-555
INVC-73289,11/19/2020,1,1/7/2022,,Unpaid,Bi-Weekly,BILL764162236,290-40-6634,CNT-CDP-8459-406
INVC-73689,12/9/2021,1,5/12/2022,12/12/2021,Paid,Semi-Annually,BILL633462947,674-28-9722,CNT-CDP-6654-149
INVC-49132,3/27/2019,3,11/17/2022,7/6/2019,Paid,Quarterly,BILL190007013,144-97-8039,CNT-CDP-8201-958
INVC-20254,10/11/2019,5,12/8/2022,10/20/2021,Paid,Bi-Weekly,BILL623615496,831-70-3318,CNT-CDP-7444-147
INVC-60030,11/20/2021,1,8/19/2022,12/19/2021,Paid,Quarterly,BILL947833841,558-90-8793,CNT-CDP-7379-495
INVC-91996,8/14/2021,2,11/18/2022,10/5/2021,Paid,Quarterly,BILL538619985,792-67-4281,CNT-CDP-9677-708
INVC-43362,7/13/2020,3,9/2/2022,,Unpaid,Semi-Annually,BILL909679450,782-32-5716,CNT-CDP-4859-484
INVC-36146,4/17/2021,2,1/26/2022,7/15/2021,Paid,Monthly,BILL438335088,450-34-5258,CNT-CDP-6244-491
INVC-24787,3/8/2020,5,1/29/2022,,Unpaid,Monthly,BILL370127737,154-64-8431,CNT-CDP-5803-851
INVC-67782,3/23/2021,1,2/9/2022,,Unpaid,Monthly,BILL713429095,536-21-0812,CNT-CDP-2639-503
INVC-19333,5/20/2020,5,5/17/2022,8/15/2021,Paid,Semi-Annually,BILL572602963,683-83-0030,CNT-CDP-2345-204
INVC-14956,11/23/2021,3,5/24/2022,11/30/2021,Paid,Annually,BILL874230635,758-26-9883,CNT-CDP-6371-507
INVC-20854,3/25/2020,3,12/21/2022,,Unpaid,Daily,BILL609514915,521-18-7100,CNT-CDP-6612-374
INVC-19039,12/17/2021,3,10/30/2022,12/22/2021,Paid,Quarterly,BILL136664213,522-29-3424,CNT-CDP-5039-924
INVC-49990,8/1/2021,1,2/15/2022,9/1/2021,Paid,Daily,BILL078494397,541-55-7474,CNT-CDP-0165-816
INVC-78811,6/11/2019,3,5/12/2022,12/5/2019,Paid,Semi-Annually,BILL255609204,416-36-8921,CNT-CDP-7299-158
INVC-04177,10/15/2019,4,7/8/2022,12/22/2020,Paid,Bi-Weekly,BILL028497792,196-90-9715,CNT-CDP-5138-432
INVC-04402,1/9/2020,4,7/14/2022,,Unpaid,Daily,BILL143618348,332-50-8142,CNT-CDP-8023-432
INVC-08254,10/16/2019,2,7/9/2022,4/21/2021,Paid,Weekly,BILL875920883,783-68-0154,CNT-CDP-7570-004
INVC-81439,12/11/2021,5,6/29/2022,12/18/2021,Paid,Quarterly,BILL616477686,425-88-7594,CNT-CDP-3470-453
INVC-61213,3/6/2020,4,11/16/2022,11/13/2021,Paid,Semi-Annually,BILL148330403,326-49-6729,CNT-CDP-3210-969
INVC-85797,3/23/2021,1,4/22/2022,,Unpaid,Monthly,BILL840897003,517-48-4669,CNT-CDP-2460-019
INVC-58960,4/11/2021,4,4/11/2022,,Unpaid,Weekly,BILL611157618,479-25-3635,CNT-CDP-5379-381
INVC-73385,1/4/2020,4,2/22/2022,,Unpaid,Daily,BILL036513937,489-98-8589,CNT-CDP-9562-404
