AcctNumber,CustomerSSN,NoMonthsInactive,ActivityStatus,ActivityStatusDate,AccountEstablishedDate
ACC907005572,144-97-8039,38,Restricted,12/12/2012,2/15/2018
ACC859139964,831-70-3318,92,In Review,1/4/2013,2/3/2019
ACC125537988,558-90-8793,89,Restricted,3/27/2016,4/7/2019
ACC070349354,792-67-4281,32,On Hold,1/26/2018,4/19/2017
ACC756829889,782-32-5716,21,Restricted,10/20/2011,5/6/2010
ACC791843462,450-34-5258,29,Suspended,3/7/2014,1/26/2017
ACC372786181,154-64-8431,83,On Hold,6/23/2011,9/20/2015
ACC033900268,536-21-0812,19,Closed,11/9/2020,10/18/2016
ACC705475074,683-83-0030,70,Active,9/9/2013,5/8/2016
ACC438453750,758-26-9883,27,Active,10/17/2013,9/30/2016
ACC223856841,521-18-7100,30,Dormant,2/11/2020,1/11/2011
ACC719622888,522-29-3424,32,In Review,11/13/2015,6/4/2016
ACC839948601,541-55-7474,1,Active,3/5/2011,11/29/2021
ACC121563984,416-36-8921,96,Restricted,6/29/2012,4/22/2020
ACC044991274,196-90-9715,39,Pending Activation,2/17/2011,8/10/2012
ACC936801170,332-50-8142,47,Archived,6/23/2020,9/26/2014
ACC131781740,783-68-0154,50,Restricted,11/9/2012,4/2/2011
ACC045730843,425-88-7594,76,Archived,12/21/2018,9/16/2018
ACC138142988,326-49-6729,33,Suspended,8/1/2015,3/25/2015
ACC937764299,517-48-4669,13,On Hold,1/15/2015,3/20/2017
ACC299775261,479-25-3635,21,In Review,3/10/2011,1/19/2013
ACC375595688,489-98-8589,39,On Hold,3/29/2014,8/9/2014
ACC497707183,454-50-7352,93,Inactive,4/15/2010,3/5/2012
ACC201701583,696-66-8047,3,Archived,11/9/2021,1/19/2019
ACC153727894,324-13-9091,83,Closed,3/24/2016,12/8/2020
ACC231833271,845-85-8761,22,Inactive,7/17/2016,1/15/2013
ACC701976835,810-99-3600,40,Restricted,9/8/2016,9/7/2017
ACC649444184,333-94-4387,5,Restricted,12/19/2015,8/13/2013
ACC341244187,772-58-7916,8,On Hold,8/4/2010,2/6/2016
ACC966543241,411-05-1333,75,Restricted,4/8/2017,6/24/2011
ACC952889779,730-71-0856,87,Pending Activation,10/27/2010,1/13/2016
ACC520239836,683-52-9482,39,Archived,6/27/2016,3/24/2016
ACC950212525,420-65-0039,26,Suspended,8/29/2013,6/18/2013
ACC798830467,706-92-3972,43,Pending Activation,3/15/2020,12/18/2018
ACC442440333,684-49-6147,35,Active,3/22/2010,3/1/2011
ACC897970758,506-48-3197,91,Closed,1/22/2011,8/1/2021
ACC180163262,649-18-0971,59,Active,11/11/2012,2/9/2012
ACC514360329,741-88-2845,82,Dormant,5/1/2018,6/6/2011
ACC660505487,429-21-6288,64,Closed,8/22/2015,6/14/2021
ACC022417470,386-64-6014,69,In Review,2/7/2012,1/27/2017
ACC349058261,576-22-8234,25,Inactive,2/12/2010,2/14/2018
ACC792744212,343-14-8509,42,Active,5/26/2018,7/6/2012
ACC022794726,416-91-0684,83,Inactive,5/16/2011,6/24/2010
ACC631585777,324-19-5995,9,Active,5/29/2014,7/26/2021
ACC308490504,810-21-7607,53,Archived,1/14/2018,10/8/2012
ACC016855669,408-06-6759,91,Active,12/10/2010,10/6/2010
ACC765653112,862-15-0803,19,Pending Activation,4/30/2018,11/5/2012
ACC027460070,341-34-9421,82,On Hold,11/23/2018,6/16/2021
ACC031888253,522-74-3333,15,Archived,4/14/2019,7/25/2016
ACC796985104,571-01-2642,64,Pending Activation,6/24/2012,7/6/2021
ACC412681191,400-01-7648,17,Dormant,11/3/2021,2/10/2012
ACC271383528,598-47-0008,91,Dormant,9/10/2021,10/26/2017
ACC621636628,336-91-9867,44,On Hold,2/9/2012,9/24/2021
ACC618971735,389-16-9961,39,Closed,11/12/2020,6/21/2019
ACC624769629,417-63-0056,43,Active,1/4/2019,6/28/2015
ACC575273071,859-29-5605,63,Active,4/28/2014,8/20/2014
ACC049496312,120-67-5434,45,Closed,3/13/2011,9/25/2020
ACC445781586,286-71-0755,11,Archived,1/30/2016,8/6/2010
ACC589152680,191-15-6591,34,Archived,1/17/2014,12/7/2015
ACC534651221,121-17-6643,70,Archived,4/17/2021,2/5/2011
ACC351856996,678-24-3779,59,Suspended,9/26/2014,8/29/2013
ACC984797178,426-19-9733,48,In Review,5/5/2018,8/23/2010
ACC113413621,295-50-6362,16,Inactive,12/15/2011,4/25/2018
ACC343848932,243-90-7292,66,Active,11/25/2010,10/15/2017
ACC008029183,443-26-7684,26,Dormant,5/24/2019,12/20/2018
ACC115751552,891-39-7247,43,On Hold,1/13/2017,12/29/2014
ACC406011682,438-67-7690,9,In Review,9/17/2012,11/18/2021
ACC789887432,821-33-0882,93,Dormant,5/8/2019,5/10/2015
ACC602014510,240-62-7475,8,Inactive,7/10/2013,8/6/2014
ACC446837363,168-79-9741,75,Archived,1/30/2014,4/25/2013
ACC256865463,502-28-3044,40,Closed,6/12/2020,8/5/2020
ACC805402621,326-82-9096,3,On Hold,8/10/2017,11/12/2019
ACC250843629,422-22-6500,22,Dormant,12/10/2017,4/1/2018
ACC654437009,784-23-9227,2,Active,7/28/2021,12/12/2019
ACC163001700,583-74-6686,21,Archived,4/3/2016,5/24/2021
ACC816312741,719-47-6049,27,Inactive,2/6/2019,1/10/2019
ACC815998449,444-61-8668,51,Archived,10/29/2017,11/21/2012
ACC231816795,414-80-2739,63,Archived,7/5/2016,3/1/2017
ACC401355057,320-72-8082,6,Suspended,8/22/2010,12/8/2017
ACC470377810,754-90-0326,40,Restricted,7/4/2021,9/6/2016
ACC388278688,454-59-9255,53,Pending Activation,11/30/2020,7/19/2011
ACC692395832,871-14-8846,50,Dormant,1/8/2020,2/1/2012
ACC262453759,484-11-7643,6,Archived,7/19/2011,8/15/2017
ACC409052210,842-33-0692,22,Dormant,4/7/2019,6/3/2021
ACC391169830,770-97-2845,20,Suspended,11/19/2011,3/5/2019
ACC799426021,859-16-4730,97,Restricted,8/18/2017,5/18/2016
ACC808455319,231-60-1071,16,Inactive,4/12/2012,5/9/2017
ACC810610703,204-84-2965,33,Restricted,3/17/2013,4/3/2016
ACC706733717,701-94-4581,82,Archived,11/5/2018,3/7/2013
ACC046614130,472-69-9538,41,On Hold,6/4/2021,4/10/2014
ACC710599079,462-09-9586,71,Archived,11/27/2010,3/14/2018
ACC848973099,887-07-8129,86,Active,2/10/2012,12/31/2016
ACC156748865,401-76-1487,8,Restricted,7/26/2018,12/21/2012
ACC600278513,881-90-9554,88,Dormant,6/21/2020,9/21/2019
ACC322548139,312-39-6634,76,Closed,7/15/2019,7/7/2010
ACC641755308,578-71-8021,60,Active,8/7/2018,1/3/2016
ACC608496884,142-96-7706,10,Inactive,1/25/2014,5/30/2013
ACC120551447,283-48-1886,23,On Hold,5/30/2014,10/9/2016
ACC594126567,348-41-6467,73,Dormant,4/12/2020,12/4/2017
ACC051079447,377-81-1617,45,Closed,2/13/2021,8/18/2011
ACC663330516,827-35-6446,66,Pending Activation,3/16/2012,10/22/2014
ACC549425994,479-33-8552,15,Dormant,9/5/2013,9/17/2010
ACC743537145,216-57-5273,89,Dormant,10/23/2019,10/27/2019
ACC565345352,560-54-1044,55,Active,6/25/2012,3/3/2018
ACC906442110,651-95-1667,19,Restricted,1/16/2012,11/11/2021
ACC740637015,161-27-2102,21,Dormant,9/6/2013,12/2/2016
ACC078709440,815-75-7291,82,Dormant,10/7/2011,10/23/2017
ACC071532190,472-57-1100,78,On Hold,2/4/2020,11/30/2016
ACC558155029,835-28-5830,100,On Hold,10/18/2014,1/23/2011
ACC580667568,795-64-2025,49,Suspended,12/28/2010,12/12/2020
ACC707550759,268-05-9286,69,In Review,9/23/2020,7/6/2016
ACC268901521,550-33-5183,5,Dormant,11/21/2019,1/26/2011
ACC148878748,309-64-6753,8,In Review,5/11/2021,1/14/2021
ACC166614764,244-26-3388,11,On Hold,1/12/2011,8/23/2014
ACC412986460,335-22-1485,28,Dormant,9/16/2011,12/19/2015
ACC625739686,708-83-3620,38,In Review,1/25/2019,6/19/2010
ACC581916511,264-14-8360,47,Pending Activation,4/13/2014,7/14/2020
ACC588879314,577-18-8952,3,Inactive,4/29/2014,3/6/2020
ACC079546819,401-04-8498,66,Restricted,4/4/2010,8/6/2018
ACC314526495,823-37-4177,7,Archived,6/2/2019,7/27/2010
ACC726807154,440-53-8760,72,Suspended,2/8/2018,8/21/2012
ACC988422664,789-23-6374,14,Archived,6/23/2016,1/3/2013
ACC519445202,410-82-3708,31,On Hold,1/12/2010,10/9/2019
ACC932256010,684-53-7790,57,On Hold,6/5/2013,5/28/2015
ACC374699962,302-41-8386,98,Pending Activation,4/11/2016,4/30/2021
ACC749239584,724-19-2732,98,Restricted,7/12/2013,2/5/2011
ACC909068284,105-24-5963,62,Suspended,5/3/2012,10/30/2021
ACC096424711,552-78-2235,46,Archived,11/21/2017,8/12/2021
ACC048545832,386-12-2564,90,Archived,9/28/2010,6/16/2021
ACC446197130,646-54-5749,39,Pending Activation,8/21/2018,3/19/2018
ACC036724362,440-33-5693,90,Pending Activation,12/18/2017,9/22/2014
ACC618446800,819-97-9212,78,In Review,3/14/2012,5/27/2020
ACC494216814,577-44-6995,25,On Hold,12/12/2015,2/8/2012
ACC331469568,555-77-7098,85,Archived,6/23/2013,9/24/2012
ACC878757315,157-96-5213,17,Closed,9/20/2012,9/24/2010
ACC759385693,694-28-6861,21,Suspended,9/1/2012,12/28/2011
ACC457191680,648-58-2228,48,On Hold,8/20/2010,11/29/2011
ACC080022513,412-99-0210,10,Suspended,2/28/2011,9/22/2016
ACC535275704,637-28-8897,83,Active,7/18/2015,7/7/2013
ACC783522310,768-07-9061,13,Active,8/20/2014,2/6/2016
ACC419075574,537-76-4709,27,Closed,6/18/2020,9/2/2015
ACC254000985,760-55-5800,11,Inactive,7/14/2018,8/15/2018
ACC290337095,219-48-8820,72,Pending Activation,7/1/2020,5/27/2017
ACC231966975,667-12-6766,32,Restricted,8/9/2016,5/17/2010
ACC153146692,460-07-2521,2,Dormant,3/3/2018,12/26/2014
ACC205849913,357-04-0907,44,Archived,2/10/2019,2/23/2010
ACC043802040,352-32-0242,30,On Hold,8/15/2021,8/10/2012
ACC717591992,726-71-9373,44,Closed,5/3/2021,10/14/2010
ACC839159885,429-65-7811,95,Dormant,12/24/2015,6/20/2019
ACC236215545,273-30-7287,61,Suspended,6/28/2010,1/14/2020
ACC814828872,307-13-0638,71,Archived,3/29/2011,5/7/2013
ACC541892146,485-56-3024,24,Active,9/25/2011,6/12/2017
ACC718527375,532-78-7589,5,Suspended,10/4/2019,3/16/2018
ACC855214738,542-23-9499,69,Active,7/29/2017,11/4/2019
ACC033309790,647-12-9070,24,Dormant,1/20/2015,2/4/2021
ACC525231804,105-43-4308,31,Closed,11/23/2011,7/17/2017
ACC876642708,313-95-3567,92,Suspended,4/22/2011,8/18/2013
ACC144360592,405-23-1770,23,On Hold,9/14/2011,4/29/2019
ACC425208152,556-17-5319,22,Suspended,1/22/2010,1/4/2020
ACC620628090,198-75-5392,36,Pending Activation,6/27/2014,2/21/2020
ACC340907401,863-28-4647,73,Archived,12/23/2021,8/11/2020
ACC775861292,240-36-3667,71,Restricted,2/8/2015,1/13/2019
ACC742607056,789-21-3161,15,Archived,8/5/2014,9/29/2013
ACC162550776,519-39-1073,13,Inactive,5/26/2021,5/26/2017
ACC219946314,175-29-0870,11,Inactive,10/10/2013,7/10/2015
ACC144891141,281-73-6808,26,Archived,4/27/2016,5/9/2012
ACC960281031,638-53-8878,28,Pending Activation,12/7/2019,9/29/2014
ACC528254629,667-87-5585,87,Closed,7/23/2013,4/28/2016
ACC475261654,469-18-8371,84,Active,1/10/2016,1/28/2015
ACC544907831,613-51-6044,20,Pending Activation,7/12/2015,10/5/2016
ACC413928662,159-60-4499,11,In Review,4/1/2018,7/25/2021
ACC039924452,657-47-2248,51,Closed,10/4/2017,1/17/2018
ACC579763833,587-46-8092,52,Suspended,1/10/2011,7/18/2018
ACC312023548,391-21-7230,94,Closed,4/30/2016,12/29/2017
ACC475690346,710-25-6604,8,In Review,10/23/2015,5/19/2011
ACC518981330,142-83-9613,5,In Review,8/12/2021,12/24/2013
ACC770361634,330-89-0336,83,Dormant,4/4/2021,4/19/2021
ACC588498020,180-96-0196,22,In Review,10/2/2020,7/3/2015
ACC316378681,133-79-4272,95,Suspended,9/12/2021,6/23/2013
ACC252708847,223-46-4546,42,Inactive,4/14/2017,11/26/2020
ACC042174305,688-34-4783,51,Restricted,6/18/2018,10/29/2021
ACC313015186,172-85-1067,21,Restricted,4/23/2013,3/9/2010
ACC949815154,176-86-3412,49,In Review,2/14/2018,10/22/2015
ACC377964126,234-43-4033,25,Suspended,4/24/2018,9/21/2015
ACC025985105,108-74-9927,34,Active,6/19/2011,9/1/2010
ACC758824208,595-98-7635,69,Pending Activation,1/21/2013,12/27/2011
ACC090471758,890-42-9829,21,Pending Activation,4/15/2020,5/21/2012
ACC491101425,189-87-9341,22,Restricted,10/10/2014,8/15/2013
ACC097199557,634-40-1416,69,Restricted,8/9/2011,8/30/2018
ACC651686212,891-94-1440,26,Inactive,11/13/2014,3/30/2016
ACC955545477,565-68-9682,46,On Hold,5/23/2013,6/22/2013
ACC312096239,121-50-0345,58,On Hold,1/10/2020,8/9/2019
ACC050762196,135-79-2822,32,On Hold,1/17/2010,7/19/2011
ACC710922439,648-53-3431,37,In Review,11/29/2019,3/3/2011
ACC066373120,589-94-4692,48,Inactive,5/31/2016,9/9/2016
ACC451562088,516-23-5305,34,Active,4/8/2013,7/10/2020
ACC069703219,745-84-4576,33,Suspended,3/24/2020,8/7/2019
ACC482118148,425-60-9329,1,Inactive,2/21/2016,11/9/2016
ACC921533122,538-34-5682,88,Inactive,11/22/2019,3/14/2018
ACC808905419,349-62-6503,69,Archived,8/21/2017,6/14/2018
ACC899473073,875-65-7669,69,On Hold,2/7/2016,10/3/2013
ACC587089361,397-26-0369,34,Pending Activation,6/25/2019,2/20/2021
ACC789711812,406-55-2305,79,On Hold,7/29/2014,1/10/2010
ACC040522665,794-64-4580,70,Closed,2/3/2015,1/14/2021
ACC817421372,425-83-7072,95,Pending Activation,2/5/2014,7/20/2011
ACC437429185,326-74-7678,90,Active,12/6/2019,9/4/2021
ACC736820249,328-54-1580,5,Archived,10/24/2012,6/22/2012
ACC954442343,522-74-5310,24,In Review,12/8/2018,5/8/2015
ACC272307641,397-05-4780,90,Inactive,4/7/2012,4/5/2021
ACC512314350,711-15-5821,83,Pending Activation,12/15/2020,3/28/2011
ACC368488835,297-67-6147,86,In Review,5/27/2018,6/1/2019
ACC762433571,813-84-6255,49,On Hold,5/3/2010,8/18/2011
ACC308447835,766-80-8164,95,In Review,10/27/2014,5/17/2013
ACC529864813,429-68-1542,98,Inactive,11/26/2012,2/13/2017
ACC651319120,421-25-3301,52,Active,4/30/2011,10/17/2010
ACC848809209,692-55-4716,1,Dormant,2/8/2014,5/14/2019
ACC707086498,112-96-8059,30,Restricted,2/16/2017,1/17/2010
ACC375426698,295-17-0041,94,Inactive,7/29/2021,4/1/2016
ACC970470834,384-51-6805,88,Closed,6/18/2019,8/30/2015
ACC927846103,326-12-6558,36,Closed,3/18/2012,10/19/2020
ACC377011745,341-22-7806,83,Restricted,11/10/2016,8/9/2017
ACC416186082,201-21-4882,20,Restricted,5/2/2015,3/27/2013
ACC945518575,483-35-2656,100,Restricted,4/12/2017,1/14/2021
ACC485515874,176-15-5320,30,Archived,11/24/2014,10/9/2014
ACC166857565,344-33-3276,10,Restricted,3/3/2016,9/8/2014
ACC281742941,205-22-8990,88,Pending Activation,1/13/2011,7/21/2017
ACC979209706,309-18-0710,90,Closed,7/1/2011,5/25/2018
ACC542148274,707-14-3743,82,Dormant,7/21/2017,2/22/2021
ACC651447723,146-38-7351,81,Suspended,4/26/2015,3/12/2015
ACC272111987,463-75-0157,94,Active,7/2/2014,10/25/2016
ACC529309584,385-22-3959,43,Pending Activation,10/23/2016,8/24/2013
ACC022281341,231-14-6774,80,Archived,8/29/2018,8/14/2021
ACC773217737,281-62-2599,46,In Review,10/4/2018,11/10/2010
ACC590487042,838-38-5879,86,Archived,5/4/2021,6/6/2021
ACC813616815,851-58-1872,55,In Review,11/12/2021,12/27/2021
ACC172079226,583-19-2261,23,Restricted,10/29/2017,6/2/2011
ACC610455053,888-60-2700,45,In Review,11/27/2011,6/12/2021
ACC235936718,514-30-6796,14,Pending Activation,8/28/2011,8/20/2012
ACC964660026,617-38-0166,29,Closed,4/26/2020,4/30/2021
ACC212952264,153-73-4832,43,On Hold,8/22/2014,8/29/2011
ACC816678570,417-81-9390,26,Active,9/22/2010,9/9/2012
ACC047218423,213-89-8076,43,In Review,8/6/2010,2/19/2011
ACC520693822,532-93-7617,28,Archived,8/4/2014,10/10/2012
ACC430524669,122-82-0920,61,Dormant,10/16/2015,5/6/2012
ACC555070639,374-47-3978,41,On Hold,8/8/2015,7/7/2019
ACC400131463,571-27-8259,73,Closed,2/18/2016,11/29/2012
ACC247976669,255-98-5864,63,Dormant,12/17/2010,7/18/2013
ACC512016915,565-71-6887,92,Inactive,9/23/2019,2/16/2014
ACC956623834,769-30-2685,85,In Review,3/1/2017,5/1/2021
ACC363493944,364-43-2698,17,Pending Activation,11/23/2019,10/10/2017
ACC035265153,430-57-8881,63,Restricted,9/2/2017,2/9/2020
ACC798455904,369-01-4000,95,Dormant,2/12/2011,9/17/2019
ACC762804963,130-36-6508,86,Restricted,9/20/2012,7/22/2011
ACC155820095,194-98-7811,9,Active,12/24/2019,4/10/2015
ACC087860701,202-51-5487,23,Dormant,6/27/2013,7/7/2014
ACC513280947,410-01-6579,38,Suspended,4/11/2013,5/29/2019
ACC752962683,585-54-3079,53,Restricted,3/27/2016,3/4/2018
ACC526502500,569-27-5695,7,Archived,4/20/2010,8/6/2016
ACC731191396,603-33-7368,24,Archived,10/6/2011,9/8/2010
ACC882890905,817-61-5153,77,Closed,10/6/2020,6/13/2011
ACC968741631,602-23-5126,84,Pending Activation,1/26/2016,4/11/2021
ACC631002730,242-74-5241,13,On Hold,5/26/2014,12/15/2020
ACC232495964,744-02-7121,24,Active,3/26/2017,4/10/2019
ACC828700120,681-30-3780,31,Suspended,5/15/2020,5/5/2014
ACC910118051,803-27-2767,19,Dormant,11/28/2010,12/20/2020
ACC816421354,544-47-2185,61,Active,4/29/2013,2/11/2020
ACC824720384,548-80-0057,92,Restricted,1/16/2012,5/18/2017
ACC869451505,100-34-4346,12,On Hold,8/15/2017,7/27/2019
ACC930802133,172-93-6292,72,In Review,4/9/2021,7/12/2021
ACC326769774,467-79-0687,60,Restricted,9/28/2013,5/10/2013
ACC072633883,641-01-2782,61,Dormant,9/27/2021,6/1/2013
ACC488310813,403-12-4245,86,On Hold,4/25/2014,10/31/2019
ACC417154412,209-15-2542,83,Closed,12/25/2013,11/7/2015
ACC460734373,837-70-0390,22,Suspended,7/16/2018,11/30/2019
ACC248305189,611-95-8350,8,Pending Activation,4/22/2015,8/23/2019
ACC397231796,541-57-2145,70,On Hold,12/19/2016,5/9/2017
ACC066472389,869-20-0883,84,Pending Activation,4/21/2012,1/27/2016
ACC213575276,462-50-5376,83,Pending Activation,8/17/2011,12/21/2021
ACC923107147,803-46-9263,62,Archived,1/24/2021,4/5/2019
ACC679031224,156-98-1579,28,On Hold,5/22/2018,6/18/2020
ACC394729725,809-02-4761,51,Pending Activation,11/24/2015,9/6/2010
ACC402059699,682-28-5156,80,Suspended,1/1/2018,12/14/2016
ACC997715305,527-94-7787,84,On Hold,5/7/2010,9/27/2018
ACC986804675,531-54-0436,16,Pending Activation,1/9/2016,12/26/2010
ACC450563848,671-27-4240,92,Closed,6/26/2010,1/12/2020
ACC682487212,423-96-6886,62,Restricted,12/9/2015,6/14/2017
ACC121309870,334-55-7345,93,Closed,5/21/2021,10/24/2019
ACC247401025,236-74-4042,81,Restricted,5/29/2010,5/20/2018
ACC061409731,875-38-2089,70,In Review,4/20/2011,3/21/2015
ACC914294389,247-30-6618,30,In Review,1/25/2020,8/26/2015
ACC732409398,303-70-8538,20,On Hold,11/18/2013,12/24/2017
ACC677549754,628-47-6894,69,Inactive,8/24/2012,12/3/2012
ACC015100381,442-51-5768,71,In Review,3/12/2016,8/8/2015
ACC851452314,312-79-1518,57,Pending Activation,9/29/2018,12/15/2020
ACC050453319,268-43-0664,74,Restricted,8/10/2015,5/7/2018
ACC291570447,369-66-1449,57,Closed,6/21/2020,6/14/2020
ACC323820610,707-70-2974,59,Closed,5/16/2018,8/24/2018
ACC401654072,716-28-1154,43,Active,8/8/2011,3/26/2018
ACC319914126,389-75-6577,15,In Review,8/13/2020,1/5/2014
ACC141096293,419-12-1209,86,Active,10/3/2016,2/20/2011
ACC775845115,397-44-8595,75,Dormant,9/28/2015,12/9/2010
ACC692666956,688-54-3391,46,On Hold,4/23/2015,10/10/2017
ACC863687193,683-18-2016,79,Active,1/4/2010,4/26/2010
ACC413942787,397-81-5979,74,Inactive,4/13/2011,1/15/2020
ACC454761633,496-56-3677,50,Dormant,5/23/2021,12/22/2010
ACC338157180,794-04-1916,56,On Hold,11/4/2021,5/28/2015
ACC760416655,804-60-1290,8,Inactive,8/24/2021,8/23/2017
ACC850051434,885-28-7203,19,In Review,7/24/2015,12/2/2011
ACC936138671,360-60-1633,37,On Hold,5/30/2020,3/14/2019
ACC019464528,441-45-4434,77,Closed,2/1/2013,11/6/2021
ACC018309828,379-80-0956,97,On Hold,7/17/2015,2/27/2012
ACC158164726,182-98-0168,68,In Review,5/13/2011,7/1/2020
ACC337802645,371-43-5754,4,Archived,12/11/2015,4/12/2014
ACC131889848,474-55-9702,97,Restricted,1/30/2013,8/1/2012
ACC497913966,767-53-8839,29,In Review,4/3/2012,9/17/2015
ACC772402751,364-35-6771,76,Closed,7/28/2010,11/23/2020
ACC684697911,339-38-9116,5,Archived,5/30/2016,9/14/2012
ACC659217124,658-45-2934,52,Restricted,4/8/2019,8/21/2021
ACC014282645,176-91-5939,54,Closed,2/8/2020,9/9/2013
ACC520744300,674-90-5210,66,In Review,7/23/2012,2/21/2020
ACC244496369,648-86-4577,41,Active,11/15/2011,3/1/2012
ACC165256202,556-44-4543,74,Restricted,11/3/2015,6/25/2010
ACC172342739,307-44-4074,23,Active,6/19/2016,12/16/2015
ACC864856714,839-18-6285,65,Active,3/28/2019,9/24/2018
ACC200262944,335-04-6424,46,Suspended,12/20/2010,6/13/2017
ACC933747541,743-98-5810,1,Archived,11/12/2017,12/8/2019
ACC122722701,882-29-5174,45,Active,11/4/2010,1/29/2012
ACC686968561,402-49-4219,59,Closed,7/10/2020,3/28/2021
ACC370095632,446-41-6870,66,In Review,2/4/2013,3/8/2012
ACC235280522,101-47-5339,38,Active,11/25/2016,12/14/2012
ACC800328527,444-30-5228,92,Restricted,8/14/2021,8/10/2017
ACC192642953,757-43-9631,65,Inactive,7/3/2013,8/16/2020
ACC959598886,362-14-3735,97,Closed,10/28/2015,3/12/2019
ACC963618593,736-72-4628,74,On Hold,11/30/2012,4/11/2017
ACC157710910,723-38-9797,13,Inactive,6/5/2010,1/29/2020
ACC031753343,352-17-8089,18,Pending Activation,5/4/2020,11/21/2017
ACC243144547,653-48-2778,29,Active,3/22/2014,9/21/2012
ACC010005688,127-30-0196,69,Inactive,2/9/2012,11/7/2011
ACC835802748,187-61-7881,78,On Hold,9/17/2021,10/5/2020
ACC894254200,546-64-8119,1,Closed,4/23/2011,3/28/2010
ACC997248981,521-61-8005,96,Suspended,7/26/2010,9/30/2010
ACC248832175,296-29-4308,98,In Review,11/19/2013,2/25/2014
ACC713097277,315-09-1557,100,Closed,5/26/2012,12/29/2014
ACC996863098,660-89-2485,42,Closed,7/10/2020,1/14/2020
ACC589930251,611-49-6271,58,Closed,11/15/2013,7/11/2014
ACC216486929,828-69-1991,40,Suspended,5/6/2011,4/6/2013
ACC711228956,795-97-9815,11,Inactive,4/14/2020,12/5/2016
ACC375583310,207-74-6999,72,Restricted,9/28/2021,10/21/2013
ACC377028951,376-55-9717,45,Dormant,4/19/2014,4/29/2018
ACC689311290,366-58-7947,18,Suspended,2/16/2012,5/14/2018
ACC042905228,166-89-9873,11,Dormant,4/8/2020,4/12/2012
ACC680146365,596-20-8472,64,Pending Activation,10/26/2017,3/2/2019
ACC494134274,331-86-5929,65,Archived,2/11/2018,9/25/2012
ACC386810332,276-34-3095,16,Pending Activation,7/4/2019,2/7/2014
ACC778568240,475-34-2789,69,Inactive,11/25/2015,8/19/2021
ACC825144835,838-61-7505,69,On Hold,4/3/2021,5/17/2021
ACC571121541,550-28-8283,4,Active,12/14/2012,12/5/2021
ACC400400553,203-33-6926,74,Restricted,2/15/2012,11/10/2013
ACC103253763,380-89-1783,3,In Review,10/29/2018,12/10/2019
ACC676659495,294-24-2455,35,Archived,12/21/2017,5/31/2012
ACC959876008,266-25-7957,8,Dormant,8/25/2018,7/10/2017
ACC650601811,509-47-3199,73,Dormant,8/11/2020,1/10/2016
ACC197461113,660-92-4797,86,Pending Activation,3/10/2011,3/4/2016
ACC035219877,325-25-6600,68,Active,12/19/2018,4/15/2013
ACC990669276,872-18-5511,66,Dormant,3/22/2019,4/22/2012
ACC383313874,133-87-1780,88,Inactive,5/14/2013,10/1/2012
ACC982402632,510-21-1344,51,Suspended,6/20/2019,5/3/2013
ACC040177948,520-54-7293,34,Archived,3/21/2014,11/19/2010
ACC679669835,352-61-1714,85,In Review,2/3/2011,7/19/2016
ACC201241474,822-84-5975,13,Dormant,9/20/2013,11/3/2019
ACC892077823,683-18-9050,20,Restricted,2/26/2019,8/24/2013
ACC411636572,336-58-0750,62,Pending Activation,9/27/2010,2/27/2016
ACC398278389,654-79-4730,7,Closed,11/27/2015,1/15/2014
ACC961343590,819-29-9354,57,Closed,3/10/2019,7/23/2012
ACC991318442,779-38-6747,22,Suspended,4/23/2011,6/27/2011
ACC900439456,642-32-0165,16,Inactive,6/9/2010,9/21/2020
ACC756429922,246-27-5053,48,Archived,10/30/2018,10/2/2014
ACC176851610,233-98-7822,52,Pending Activation,8/13/2020,8/4/2014
ACC674265580,104-86-0759,5,Archived,5/31/2015,12/4/2012
ACC281514894,415-20-4014,10,Dormant,5/23/2011,5/23/2019
ACC893601399,671-48-6104,19,Inactive,4/10/2019,7/5/2021
ACC595429062,435-89-9247,29,On Hold,3/21/2015,11/26/2016
ACC325785786,857-89-0757,20,Inactive,11/1/2010,11/17/2015
ACC957979017,569-03-0198,18,Pending Activation,6/27/2011,2/23/2015
ACC637267368,637-48-5747,40,Closed,8/10/2017,12/30/2015
ACC674940334,194-32-2924,21,In Review,9/2/2018,8/9/2017
ACC141086409,316-66-0906,61,Archived,10/1/2016,7/6/2017
ACC328101865,369-24-9347,12,Pending Activation,2/8/2018,10/12/2014
ACC401926692,653-92-1242,38,Inactive,8/10/2018,12/24/2015
ACC023605551,512-17-5927,80,Restricted,12/20/2019,9/5/2013
ACC314578809,444-86-0266,64,Inactive,9/8/2014,10/19/2015
ACC816700091,582-84-5518,77,Pending Activation,3/30/2011,10/28/2014
ACC741537799,146-09-6810,34,Closed,12/9/2010,9/26/2013
ACC881662833,852-03-7194,42,Suspended,12/4/2021,6/8/2021
ACC497326453,197-07-9496,77,Dormant,6/12/2014,4/6/2010
ACC903837592,239-46-5126,13,Inactive,4/17/2019,6/10/2021
ACC432747892,550-98-8096,28,Archived,1/14/2019,8/26/2012
ACC022836216,366-76-1690,87,Pending Activation,4/14/2019,7/5/2011
ACC304164877,502-44-6250,87,On Hold,1/20/2019,3/31/2013
ACC592571848,430-79-6857,56,On Hold,11/4/2013,10/22/2020
ACC557048889,463-65-5690,36,On Hold,1/8/2019,8/7/2012
